,I_t
0,21235.0
1,21878.95695835899
2,22542.43259415834
3,23226.01794476979
4,23930.321908569895
5,24655.97178248027
6,25403.61381554893
7,26173.913779043083
8,26967.557553536764
9,27785.25173349058
10,28627.724249834508
11,29495.725011079227
12,30390.026563495947
13,31311.424770919868
14,32260.7395147477
15,33238.815414715544
16,34246.522571059555
17,35284.7573286784
18,36354.44306393347
19,37456.530994740104
20,38592.00101462113
21,39761.86255141173
22,40967.155451323815
23,42208.950889096624
24,43488.352304980115
25,44806.49636931735
26,46164.55397551255
27,47563.73126219225
28,49005.27066538808
29,50490.45200159163
30,52020.59358255359
31,53597.05336272234
32,55221.23012023971
33,56894.56467243551
34,58618.54112678606
35,60394.68816832629
36,62224.58038452993
37,64109.839628697366
38,66052.13642291645
39,68053.19140168757
40,70114.77679733085
41,72238.71796832012
42,74426.89497171565
43,76681.24418089532
44,79003.75994981175
45,81396.4963250316
46,83861.56880684158
47,86401.15616073483
48,89017.50228062099
49,91712.91810513214
50,94489.78358842705
51,97350.54972692608
52,100297.74064343898
53,103333.95573017836
54,106461.87185218158
55,109684.24561269459
56,113003.91568210117
57,116423.80519201145
58,119946.92419615375
59,123576.37219974355
60,127315.3407590333
61,131167.11615277556
62,135135.08212736156
63,139222.72271742474
64,143433.62514372758
65,147771.4827901758
66,152240.0982618315
67,156843.38652582094
68,161585.3781370575
69,166470.22255072295
70,171502.191523472
71,176685.68260534483
72,182025.2227243911
73,187525.471866025
74,193191.2268491459
75,199027.42520107076
76,205039.14913333478
77,211231.62962042334
78,217610.25058350267
79,224180.55318121728
80,230948.24020961992
81,237919.18061329285
82,245099.41410970924
83,252495.15592886828
84,260112.8016702175
85,267958.9322788517
86,276040.31914294616
87,284363.92931434675
88,292936.93085419503
89,301766.69830541796
90,310860.8182938536
91,320227.0952597197
92,329873.55732105765
93,339808.46227070206
94,350040.30370823387
95,360577.81730827113
96,371429.9872263392
97,382606.0526434349
98,394115.5144502631
99,405968.1420719703
100,418173.98043403635
101,430743.35706980457
102,443686.8893699322
103,457015.491973833
104,470740.3843029496
105,484873.0982354445
106,499425.4859216289
107,514409.7277391552
108,529838.3403866878
109,545724.1851144277
110,562080.4760895048
111,578920.7888938631
112,596259.069151849
113,614109.6412842665
114,632487.2173851875
115,651406.9062172996
116,670884.2223210303
117,690935.0952321102
118,711575.8788016264
119,732823.3606119618
120,754694.7714813264
121,777207.7950488499
122,800380.5774314257
123,824231.7369426747
124,848780.3738635203
125,874046.0802529464
126,900048.949786536
127,926809.5876093605
128,954349.1201887042
129,982689.205150974
130,1011852.0410859375
131,1041860.3773001783
132,1072737.5235003287
133,1104507.3593852567
134,1137194.3441249237
135,1170823.5257021124
136,1205420.550091629
137,1241011.670249923
138,1277623.754886333
139,1315284.2969853592
140,1354021.422047485
141,1393863.8960141118
142,1434841.1328401465
143,1476983.2016756737
144,1520320.8336159703
145,1564885.42797687
146,1610709.0580501608
147,1657824.4762913105
148,1706265.11888935
149,1756065.109666225
150,1807259.2632503335
151,1859883.0874663256
152,1913972.7848805445
153,1969565.2534387389
154,2026698.0861298945
155,2085409.5696072122
156,2145738.6816944135
157,2207725.0877026976
158,2271409.135480803
159,2336831.849117774
160,2404034.921215191
161,2473060.7036428135
162,2543952.19668884
163,2616753.036513291
164,2691507.480810425
165,2768260.3925836054
166,2847057.221933662
167,2927943.9857595833
168,3010967.2452683477
169,3096174.08118886
170,3183612.066583381
171,3273329.237148509
172,3365374.0588967428
173,3459795.393108985
174,3556642.4584480054
175,3655964.7901230063
176,3757812.1959959646
177,3862234.7095214804
178,3969282.5394134414
179,4079006.0159339835
180,4191455.533703031
181,4306681.490930172
182,4424734.224974841
183,4545663.944145756
184,4669520.655656373
185,4796354.089659801
186,4926213.619294225
187,5059148.176678484
188,5195206.164807007
189,5334435.365304012
190,5476882.842008596
191,5622594.840375261
192,5771616.6826884765
193,5923992.659105165
194,6079765.91455549
195,6238978.331550057
196,6401670.40896063
197,6567881.136861721
198,6737647.86754187
199,6911006.1828161655
