,beta,gamma,sse
0,0.02,0.01,654848.2488912581
1,0.03,0.01,638266.571362043
2,0.03,0.02,654848.2907235423
3,0.04,0.01,621338.6316248863
4,0.04,0.02,638266.6153871093
5,0.04,0.03,654848.3337766652
6,0.05,0.01,604067.172728532
7,0.05,0.02,621338.6779280091
8,0.05,0.03,638266.660676216
9,0.05,0.04,654848.3780506265
10,0.060000000000000005,0.01,586456.1796456188
11,0.060000000000000005,0.02,604067.2213944544
12,0.060000000000000005,0.03,621338.7255392595
13,0.060000000000000005,0.04,638266.7072293628
14,0.060000000000000005,0.05,654848.4235454255
15,0.07,0.01,568511.0151007705
16,0.07,0.02,586456.2307578505
17,0.07,0.03,604067.2714134045
18,0.07,0.04,621338.7744586376
19,0.07,0.05,638266.7550465491
20,0.07,0.060000000000000005,654848.4702610618
21,0.08,0.01,550238.5676417494
22,0.08,0.02,568511.0687407618
23,0.08,0.03,586456.2832687323
24,0.08,0.04,604067.3227853817
25,0.08,0.05,621338.8246861426
26,0.08,0.060000000000000005,638266.8041277744
27,0.08,0.07,654848.5181975351
28,0.09,0.01,531647.4129890914
29,0.09,0.02,550238.6238879306
30,0.09,0.03,568511.1238256427
31,0.09,0.04,586456.337178264
32,0.09,0.05,604067.3755103857
33,0.09,0.060000000000000005,621338.8762217744
34,0.09,0.07,638266.8544730386
35,0.09,0.08,654848.5673548449
36,0.09999999999999999,0.01,512747.98978494445
37,0.09999999999999999,0.02,531647.4719157529
38,0.09999999999999999,0.03,550238.6816257295
39,0.09999999999999999,0.04,568511.1803554123
40,0.09999999999999999,0.05,586456.3924864454
41,0.09999999999999999,0.060000000000000005,604067.4295884157
42,0.09999999999999999,0.07,621338.9290655319
43,0.09999999999999999,0.08,638266.9060823405
44,0.09999999999999999,0.09,654848.6177329903
45,0.10999999999999999,0.01,493552.7909540796
46,0.10999999999999999,0.02,512748.05146093946
47,0.10999999999999999,0.03,531647.5323810999
48,0.10999999999999999,0.04,550238.7408551455
49,0.10999999999999999,0.05,568511.23833007
50,0.10999999999999999,0.060000000000000005,586456.4491932753
51,0.10999999999999999,0.07,604067.4850194713
52,0.10999999999999999,0.08,621338.9832174149
53,0.10999999999999999,0.09,638266.9589556803
54,0.10999999999999999,0.09999999999999999,654848.6693319714
55,0.11999999999999998,0.01,474076.57198979077
56,0.11999999999999998,0.02,493552.85544132855
57,0.11999999999999998,0.03,512748.1147228544
58,0.11999999999999998,0.04,531647.5943851327
59,0.11999999999999998,0.05,550238.801576178
60,0.11999999999999998,0.060000000000000005,568511.2977496155
61,0.11999999999999998,0.07,586456.5072987535
62,0.11999999999999998,0.08,604067.5418035518
63,0.11999999999999998,0.09,621339.0386774228
64,0.11999999999999998,0.09999999999999999,638267.0130930569
65,0.11999999999999998,0.10999999999999999,654848.7221517875
66,0.12999999999999998,0.01,454336.5775852378
67,0.12999999999999998,0.02,474076.6393415546
68,0.12999999999999998,0.03,493552.9215616934
69,0.12999999999999998,0.04,512748.1795706886
70,0.12999999999999998,0.05,531647.6579278501
71,0.12999999999999998,0.060000000000000005,550238.8637888264
72,0.12999999999999998,0.07,568511.3586140482
73,0.12999999999999998,0.08,586456.5668028793
74,0.12999999999999998,0.09,604067.5999406569
75,0.12999999999999998,0.09999999999999999,621339.0954455552
76,0.12999999999999998,0.10999999999999999,638267.06849447
77,0.12999999999999998,0.11999999999999998,654848.7761924379
78,0.13999999999999999,0.01,434352.78814738966
79,0.13999999999999999,0.02,454336.64784413564
80,0.13999999999999999,0.03,474076.70837335766
81,0.13999999999999999,0.04,493552.9893151737
82,0.13999999999999999,0.05,512748.2460044412
83,0.13999999999999999,0.060000000000000005,531647.7230092519
84,0.13999999999999999,0.07,550238.9274930903
85,0.13999999999999999,0.08,568511.4209233671
86,0.13999999999999999,0.09,586456.6277056523
87,0.13999999999999999,0.09999999999999999,604067.6594307858
88,0.13999999999999999,0.10999999999999999,621339.1535218114
89,0.13999999999999999,0.11999999999999998,638267.1251599193
90,0.13999999999999999,0.12999999999999998,654848.831453922
91,0.15,0.01,414148.1878567804
92,0.15,0.02,434352.86134312593
93,0.15,0.03,454336.7198294528
94,0.15,0.04,474076.7790851996
95,0.15,0.05,493553.0587017684
96,0.15,0.060000000000000005,512748.31402411184
97,0.15,0.07,531647.789629337
98,0.15,0.08,550238.9926889685
99,0.15,0.09,568511.484677572
100,0.15,0.09999999999999999,586456.6900070715
101,0.15,0.10999999999999999,604067.7202739383
102,0.15,0.11999999999999998,621339.2129061907
103,0.15,0.12999999999999998,638267.1830894037
104,0.15,0.13999999999999999,654848.8879362398
105,0.16,0.01,393749.05607256026
106,0.16,0.02,414148.26400354167
107,0.16,0.03,434352.93631080654
108,0.16,0.04,454336.79354118847
109,0.16,0.05,474076.85147707956
110,0.16,0.060000000000000005,493553.1297214773
111,0.16,0.07,512748.3836296995
112,0.16,0.08,531647.8577881051
113,0.16,0.09,550239.0593764607
114,0.16,0.09999999999999999,568511.549876662
115,0.16,0.10999999999999999,586456.7537071365
116,0.16,0.11999999999999998,604067.7824701131
117,0.16,0.12999999999999998,621339.2735986924
118,0.16,0.13999999999999999,638267.2422829233
119,0.16,0.15,654848.9456393903
120,0.17,0.01,373185.28402964515
121,0.17,0.02,393749.1351660433
122,0.17,0.03,414148.34196656186
123,0.17,0.04,434353.0130504308
124,0.17,0.05,454336.86897934205
125,0.17,0.060000000000000005,474076.92554899683
126,0.17,0.07,493553.2023742994
127,0.17,0.08,512748.45482120384
128,0.17,0.09,531647.9274855554
129,0.17,0.09999999999999999,550239.1275555664
130,0.17,0.10999999999999999,568511.6165206365
131,0.17,0.11999999999999998,586456.8188058469
132,0.17,0.12999999999999998,604067.84601931
133,0.17,0.13999999999999999,621339.3355993166
134,0.17,0.15,638267.3027404768
135,0.17,0.16,654849.0045633728
136,0.18000000000000002,0.01,352490.71893399995
137,0.18000000000000002,0.02,373185.3660436664
138,0.18000000000000002,0.03,393749.2161184829
139,0.18000000000000002,0.04,414148.42174584017
140,0.18000000000000002,0.05,434353.0915619983
141,0.18000000000000002,0.060000000000000005,454336.94614391285
142,0.18000000000000002,0.07,474077.00130095077
143,0.18000000000000002,0.08,493553.276660234
144,0.18000000000000002,0.09,512748.5275986241
145,0.18000000000000002,0.09999999999999999,531647.9987216874
146,0.18000000000000002,0.10999999999999999,550239.1972262845
147,0.18000000000000002,0.11999999999999998,568511.6846094949
148,0.18000000000000002,0.12999999999999998,586456.8853032016
149,0.18000000000000002,0.13999999999999999,604067.9109215285
150,0.18000000000000002,0.15,621339.3989080621
151,0.18000000000000002,0.16,638267.3644620641
152,0.18000000000000002,0.17,654849.0647081871
153,0.19000000000000003,0.01,331703.5377342171
154,0.19000000000000003,0.02,352490.8038166326
155,0.19000000000000003,0.03,373185.4499572614
156,0.19000000000000003,0.04,393749.29892987787
157,0.19000000000000003,0.05,414148.5033413762
158,0.19000000000000003,0.060000000000000005,434353.1718455079
159,0.19000000000000003,0.07,454337.0250349
160,0.19000000000000003,0.08,474077.07873294054
161,0.19000000000000003,0.09,493553.3525792806
162,0.19000000000000003,0.09999999999999999,512748.60196195956
163,0.19000000000000003,0.10999999999999999,531648.0714965
164,0.19000000000000003,0.11999999999999998,550239.2683886149
165,0.19000000000000003,0.12999999999999998,568511.7541432366
166,0.19000000000000003,0.13999999999999999,586456.9531992006
167,0.19000000000000003,0.15,604067.9771767678
168,0.19000000000000003,0.16,621339.4635249283
169,0.19000000000000003,0.17,638267.4274476846
170,0.19000000000000003,0.18000000000000002,654849.1260738325
