,beta,gamma,sse
0,0.01,0.02,1200834903.3424838
1,0.01,0.03,578656089.018955
2,0.02,0.03,1180505729.6985626
3,0.01,0.04,259656049.9113459
4,0.02,0.04,566605746.355813
5,0.03,0.04,1160327100.278178
6,0.01,0.05,216013865.33510035
7,0.02,0.05,255128927.3095166
8,0.03,0.05,554714604.0308208
9,0.04,0.05,1140300894.1711135
10,0.01,0.060000000000000005,422082873.1910325
11,0.02,0.060000000000000005,218313413.3621485
12,0.03,0.060000000000000005,250767911.43776283
13,0.04,0.060000000000000005,542984304.6807315
14,0.05,0.060000000000000005,1120428984.926591
15,0.01,0.07,854227412.443922
16,0.02,0.07,430567161.7528761
17,0.03,0.07,220784431.68796867
18,0.04,0.07,246574432.67064083
19,0.05,0.07,531416485.71243596
20,0.060000000000000005,0.07,1100713240.4611444
21,0.01,0.08,1490671703.0251265
22,0.02,0.08,868305019.7153466
23,0.03,0.08,439226926.6710922
24,0.04,0.08,223428160.2801623
25,0.05,0.08,242549916.45342758
26,0.060000000000000005,0.08,520012779.22255826
27,0.07,0.08,1081155522.9672039
28,0.01,0.09,2311359961.1948323
29,0.02,0.09,1509797910.7770426
30,0.03,0.09,882560917.7672942
31,0.04,0.09,448063237.2476527
32,0.05,0.09,226245834.46662763
33,0.060000000000000005,0.09,238695783.23201144
34,0.07,0.09,508774811.91763794
35,0.08,0.09,1061757688.8223511
36,0.01,0.09999999999999999,3297826915.548697
37,0.02,0.09999999999999999,2335033233.6808314
38,0.03,0.09999999999999999,1529104180.4853492
39,0.04,0.09999999999999999,896996023.0642409
40,0.05,0.09999999999999999,457077158.42282695
41,0.060000000000000005,0.09999999999999999,229238684.87455034
42,0.07,0.09999999999999999,235013448.38334048
43,0.08,0.09999999999999999,497704205.0349425
44,0.09,0.09999999999999999,1042521588.4992718
45,0.01,0.10999999999999999,4433077950.996964
46,0.02,0.10999999999999999,3325585640.820208
47,0.03,0.10999999999999999,2358887428.6951103
48,0.04,0.10999999999999999,1548591291.873653
49,0.05,0.10999999999999999,911611247.9749993
50,0.060000000000000005,0.10999999999999999,466269750.7221807
51,0.07,0.10999999999999999,232407937.36988837
52,0.08,0.10999999999999999,231504322.14641184
53,0.09,0.10999999999999999,486802574.26389265
54,0.09999999999999999,0.10999999999999999,1023449066.4763982
55,0.01,0.11999999999999998,5701478165.554772
56,0.02,0.11999999999999998,4464497425.095063
57,0.03,0.11999999999999998,3353525357.071056
58,0.04,0.11999999999999998,2382923203.7499704
59,0.05,0.11999999999999998,1568260020.8237615
60,0.060000000000000005,0.11999999999999998,926407500.7267792
61,0.07,0.11999999999999998,475642070.2040376
62,0.08,0.11999999999999998,235754812.997346
