,beta,gamma,sse
0,0.01,0.02,909250230.5582244
1,0.01,0.03,489732134.8648336
2,0.02,0.03,895374715.7020586
3,0.01,0.04,255311634.26988626
4,0.02,0.04,481072822.78887695
5,0.03,0.04,881607505.8155067
6,0.01,0.05,189086903.46712476
7,0.02,0.05,251394865.1448649
8,0.03,0.05,472522424.5912255
9,0.04,0.05,867949423.2250109
10,0.01,0.060000000000000005,275474865.674767
11,0.02,0.060000000000000005,189475966.06328574
12,0.03,0.060000000000000005,247587067.7919135
13,0.04,0.060000000000000005,464081655.4228905
14,0.05,0.060000000000000005,854401286.5519407
15,0.01,0.07,500112240.46446025
16,0.02,0.07,279767221.6381641
17,0.03,0.07,189973584.13937667
18,0.04,0.07,243888861.31823725
19,0.05,0.07,455751227.01501274
20,0.060000000000000005,0.07,840963910.6866252
21,0.01,0.08,849763945.9487143
22,0.02,0.08,507936955.28149486
23,0.03,0.08,284167310.80406755
24,0.04,0.08,190580290.80558038
25,0.05,0.08,240300861.67611542
26,0.060000000000000005,0.08,447531847.65644693
27,0.07,0.08,827638106.7626672
28,0.01,0.09,1312238308.88146
29,0.02,0.09,860779311.2039936
30,0.03,0.09,515868235.50983536
31,0.04,0.09,288675589.3512181
32,0.05,0.09,191296616.26309776
33,0.060000000000000005,0.09,236823681.64360136
34,0.07,0.09,439424222.17159235
35,0.08,0.09,814424682.131558
36,0.01,0.09999999999999999,1876308576.9053605
37,0.02,0.09999999999999999,1326129641.563587
38,0.03,0.09999999999999999,871899782.1165103
39,0.04,0.09999999999999999,523906468.5749371
40,0.05,0.09999999999999999,293292510.7775231
41,0.060000000000000005,0.09999999999999999,192123087.78757793
42,0.07,0.09999999999999999,233457930.80544788
43,0.08,0.09999999999999999,431429051.89850247
44,0.09,0.09999999999999999,801324440.3375547
45,0.01,0.10999999999999999,2531640264.8261247
46,0.02,0.10999999999999999,1892786182.5788052
47,0.03,0.10999999999999999,1340124375.5431108
48,0.04,0.10999999999999999,883125684.7340264
49,0.05,0.10999999999999999,532052039.4329216
50,0.060000000000000005,0.10999999999999999,298018525.8858787
51,0.07,0.10999999999999999,193060229.71275344
52,0.08,0.10999999999999999,230204215.53426045
53,0.09,0.10999999999999999,423547034.66721797
54,0.09999999999999999,0.10999999999999999,788338181.0928518
55,0.01,0.11999999999999998,3268723901.634074
56,0.02,0.11999999999999998,2550437552.471239
57,0.03,0.11999999999999998,1909365282.4004374
58,0.04,0.11999999999999998,1354222782.1398773
59,0.05,0.11999999999999998,894457342.83091
60,0.060000000000000005,0.11999999999999998,540305330.5584968
61,0.07,0.11999999999999998,302854082.77017325
62,0.08,0.11999999999999998,194108563.41427565
63,0.09,0.11999999999999998,227063138.97187936
64,0.09999999999999999,0.11999999999999998,415778864.77837384
65,0.10999999999999999,0.11999999999999998,775466700.2530556
66,0.01,0.12999999999999998,4078812777.236266
67,0.02,0.12999999999999998,3289595638.8677216
68,0.03,0.12999999999999998,2569334261.1886244
69,0.04,0.12999999999999998,1926046098.9557157
70,0.05,0.12999999999999998,1368425130.5818129
71,0.060000000000000005,0.12999999999999998,905895077.8978941
72,0.07,0.12999999999999998,548666721.9330329
73,0.08,0.12999999999999998,307799626.80147475
74,0.09,0.12999999999999998,195268607.29374942
75,0.09999999999999999,0.12999999999999998,224035301.01098707
76,0.10999999999999999,0.12999999999999998,408125232.98204815
77,0.11999999999999998,0.12999999999999998,762710789.7929077
78,0.01,0.13999999999999999,4953865317.701383
79,0.02,0.13999999999999999,4101533475.4675927
80,0.03,0.13999999999999999,3310564590.607066
81,0.04,0.13999999999999999,2588330570.2294035
82,0.05,0.13999999999999999,1942828852.906057
83,0.060000000000000005,0.13999999999999999,1382731687.9962106
84,0.07,0.13999999999999999,917439209.1319706
85,0.08,0.13999999999999999,557136591.0327928
86,0.09,0.13999999999999999,312855600.6143847
87,0.09999999999999999,0.13999999999999999,196540876.76297197
88,0.10999999999999999,0.13999999999999999,221121298.27693433
89,0.11999999999999998,0.13999999999999999,400586826.45688814
90,0.12999999999999998,0.13999999999999999,750071237.7823281
91,0.01,0.15,5886491745.434731
92,0.02,0.15,4978227737.556713
93,0.03,0.15,4124349076.630418
94,0.04,0.15,3331630897.6324644
95,0.05,0.15,2607426657.0759597
96,0.060000000000000005,0.15,1959713762.9815404
97,0.07,0.15,1397142719.4012303
98,0.08,0.15,929090053.426402
99,0.09,0.15,565715312.817335
100,0.09999999999999999,0.15,318022444.0935923
101,0.10999999999999999,0.15,197925884.228375
102,0.11999999999999998,0.15,218321724.10980678
103,0.12999999999999998,0.15,393164328.7894566
104,0.13999999999999999,0.15,737548828.3627319
105,0.01,0.16,6869904706.256687
106,0.02,0.16,5912305513.506173
107,0.03,0.16,5002682668.716731
108,0.04,0.16,4147259687.412769
109,0.05,0.16,3352794699.0990224
110,0.060000000000000005,0.16,2626622697.435831
111,0.07,0.16,1976701045.9737873
112,0.08,0.16,1411658487.6974802
113,0.09,0.16,940847925.3608991
114,0.09999999999999999,0.16,574403259.718066
115,0.10999999999999999,0.16,323300594.3605812
116,0.11999999999999998,0.16,199424139.07566842
117,0.12999999999999998,0.16,215637168.54671264
118,0.13999999999999999,0.16,385858419.9538633
119,0.15,0.16,725144341.723635
120,0.01,0.17,7897873569.009433
121,0.02,0.17,6896995034.896366
122,0.03,0.17,5938209343.011645
123,0.04,0.17,5027230187.7172
124,0.05,0.17,4170265413.0101013
125,0.060000000000000005,0.17,3374056132.531661
126,0.07,0.17,2645918865.235782
127,0.08,0.17,1993790916.7288957
128,0.09,0.17,1426279253.6597514
129,0.09999999999999999,0.17,952713137.191942
130,0.10999999999999999,0.17,583200801.6269541
131,0.11999999999999998,0.17,328690485.7605444
132,0.12999999999999998,0.17,201036147.65468234
133,0.13999999999999999,0.17,213068218.30429235
134,0.15,0.17,378669776.2916461
135,0.16,0.17,712858554.0795414
136,0.01,0.18000000000000002,8964682125.20523
137,0.02,0.18000000000000002,7926080071.508197
138,0.03,0.18000000000000002,6924172935.860469
139,0.04,0.18000000000000002,5964203283.878399
140,0.05,0.18000000000000002,5051870369.723823
