,beta,gamma,sse
0,0.02,0.01,657294.9406484003
1,0.03,0.01,3147194.176096132
2,0.03,0.02,653498.8357207025
3,0.04,0.01,8009475.042039162
4,0.04,0.02,3137135.221819364
5,0.04,0.03,649710.6135647186
6,0.05,0.01,15484670.340642633
7,0.05,0.02,7992475.5790673895
8,0.05,0.03,3127068.85184367
9,0.05,0.04,645930.402970188
10,0.060000000000000005,0.01,25833782.195594005
11,0.060000000000000005,0.02,15459990.493747152
12,0.060000000000000005,0.03,7975451.292987102
13,0.060000000000000005,0.04,3116995.2131119343
14,0.060000000000000005,0.05,642158.3330102272
15,0.07,0.01,39339947.8200295
16,0.07,0.02,25800614.307885718
17,0.07,0.03,15435266.074099297
18,0.07,0.04,7958402.350988566
19,0.07,0.05,3106914.4528976474
20,0.07,0.060000000000000005,638394.5330405787
21,0.08,0.01,56310239.15169072
22,0.08,0.02,39297410.38384946
23,0.08,0.03,25767379.497925974
24,0.08,0.04,15410497.271461451
25,0.08,0.05,7941328.92064603
26,0.08,0.060000000000000005,3096826.718803855
27,0.08,0.07,634639.1326989015
28,0.09,0.01,77077607.07923351
29,0.09,0.02,56257370.189539745
30,0.09,0.03,39254780.7916249
31,0.09,0.04,25734077.98063135
32,0.09,0.05,15385684.276041102
33,0.09,0.060000000000000005,7924231.169916847
34,0.09,0.07,3086732.1587625975
35,0.09,0.08,630892.2619040097
36,0.09999999999999999,0.01,102002981.84115314
37,0.09999999999999999,0.02,77013356.9236589
38,0.09999999999999999,0.03,56204380.6392483
39,0.09999999999999999,0.04,39212059.28629154
40,0.09999999999999999,0.05,25700709.97143107
41,0.09999999999999999,0.060000000000000005,15360827.278488602
42,0.09999999999999999,0.07,7907109.267140241
43,0.09999999999999999,0.08,3076630.9210339435
44,0.09999999999999999,0.09,627154.0508552273
45,0.10999999999999999,0.01,131477542.10465968
46,0.10999999999999999,0.02,101926205.257632
47,0.10999999999999999,0.03,76948954.2029375
48,0.10999999999999999,0.04,56151270.774953075
49,0.10999999999999999,0.05,39169246.111375526
50,0.10999999999999999,0.060000000000000005,25667275.686266035
51,0.10999999999999999,0.07,15335926.469896771
52,0.10999999999999999,0.08,7889963.38103664
53,0.10999999999999999,0.09,3066523.1542050494
54,0.10999999999999999,0.09999999999999999,623424.6300315403
55,0.11999999999999998,0.01,165925166.23141044
56,0.11999999999999998,0.02,131386989.69614431
57,0.11999999999999998,0.03,101849240.20449802
58,0.11999999999999998,0.04,76884399.22593918
59,0.11999999999999998,0.05,56098040.87146856
60,0.11999999999999998,0.060000000000000005,39126341.5109916
61,0.11999999999999998,0.07,25633775.341587715
62,0.11999999999999998,0.08,15310982.041799836
63,0.11999999999999998,0.09,7872793.680706756
64,0.11999999999999998,0.09999999999999999,3056409.0071895737
65,0.11999999999999998,0.10999999999999999,619704.1301909466
66,0.12999999999999998,0.01,205805080.3161451
67,0.12999999999999998,0.02,165819475.057315
68,0.12999999999999998,0.03,131296208.56391786
69,0.12999999999999998,0.04,101772087.02927579
70,0.12999999999999998,0.05,76819692.30230966
71,0.12999999999999998,0.060000000000000005,56044691.204284966
72,0.12999999999999998,0.07,39083345.72984239
73,0.12999999999999998,0.08,25600209.15435683
74,0.12999999999999998,0.09,15285994.186171904
75,0.12999999999999998,0.09999999999999999,7855600.335630439
76,0.12999999999999998,0.10999999999999999,3046288.629226635
77,0.12999999999999998,0.11999999999999998,615992.6823696853
78,0.13999999999999999,0.01,251614718.7491975
79,0.13999999999999999,0.02,205682763.65205842
80,0.13999999999999999,0.03,165713510.0899167
81,0.13999999999999999,0.04,131205199.09851208
82,0.13999999999999999,0.05,101694746.08037677
83,0.13999999999999999,0.060000000000000005,76754833.74246964
84,0.13999999999999999,0.07,55991222.04956729
85,0.13999999999999999,0.08,39040259.01321624
86,0.13999999999999999,0.09,25566577.3420417
87,0.13999999999999999,0.09999999999999999,15260963.095426299
88,0.13999999999999999,0.10999999999999999,7838383.515665837
89,0.13999999999999999,0.11999999999999998,3036162.1698801145
90,0.13999999999999999,0.12999999999999998,612290.417881498
91,0.15,0.01,303892814.3114109
92,0.15,0.02,251474154.90650028
93,0.15,0.03,205560122.79556358
94,0.15,0.04,165607271.76759115
95,0.15,0.05,131113961.69147319
96,0.15,0.060000000000000005,101617217.70709842
97,0.15,0.07,76689823.85761218
98,0.15,0.08,55937633.68415348
99,0.15,0.09,38997081.60698643
100,0.15,0.09999999999999999,25532880.122618347
101,0.15,0.10999999999999999,15235888.962414527
102,0.15,0.11999999999999998,7821143.3910484575
103,0.15,0.12999999999999998,3026029.779037672
104,0.15,0.13999999999999999,608597.4683169089
105,0.16,0.01,363222736.1673638
106,0.16,0.02,303732234.4281234
107,0.16,0.03,251333210.57565376
108,0.16,0.04,205437158.23824656
109,0.16,0.05,165500760.52986783
110,0.16,0.060000000000000005,131022496.7353578
111,0.16,0.07,101539502.25962198
112,0.16,0.08,76624662.95970172
113,0.16,0.09,55883926.38555274
114,0.16,0.09999999999999999,38953813.757609606
115,0.16,0.10999999999999999,25499117.714567505
116,0.16,0.11999999999999998,15210771.980424747
117,0.16,0.12999999999999998,7803880.132390158
118,0.16,0.13999999999999999,3015891.6069100443
119,0.16,0.15,604913.9655424549
120,0.17,0.01,430236095.58797204
121,0.17,0.02,363040210.8729516
122,0.17,0.03,303571211.23864794
123,0.17,0.04,251191886.30741638
124,0.17,0.05,205313870.47300798
125,0.17,0.060000000000000005,165393976.81742972
126,0.17,0.07,130930804.62373137
127,0.17,0.08,101461600.08900991
128,0.17,0.09,76559351.3614722
129,0.17,0.09999999999999999,55830100.43194427
