,beta,gamma,sse
0,0.02,0.01,633674470.9481114
1,0.03,0.01,1451641154.5612676
2,0.03,0.02,611608994.984695
3,0.04,0.01,2665167141.644919
4,0.04,0.02,1416174808.3396604
5,0.04,0.03,589931348.4039009
6,0.05,0.01,4312033192.121546
7,0.05,0.02,2614928993.271626
8,0.05,0.03,1381104900.2619293
9,0.05,0.04,568643838.5154077
10,0.060000000000000005,0.01,6433083392.384966
11,0.060000000000000005,0.02,4245531599.971312
12,0.060000000000000005,0.03,2565095477.3521476
13,0.060000000000000005,0.04,1346434091.5111198
14,0.060000000000000005,0.05,547748755.1216655
15,0.07,0.01,9072462253.19806
16,0.07,0.02,6348695637.579273
17,0.07,0.03,4179442325.679076
18,0.07,0.04,2515669649.6320734
19,0.07,0.05,1312165024.0460463
20,0.07,0.060000000000000005,527248370.43558425
21,0.08,0.01,12277869790.220333
22,0.08,0.02,8968423274.85412
23,0.08,0.03,6264727271.584045
24,0.08,0.04,4113768864.5975523
25,0.08,0.05,2466654544.7436943
26,0.08,0.060000000000000005,1278300320.5059457
27,0.08,0.07,507144938.99983585
28,0.09,0.01,16100835927.335789
29,0.09,0.02,12152259944.427036
30,0.09,0.03,8864810024.123493
31,0.09,0.04,6181182279.216534
32,0.09,0.05,4048514688.887159
33,0.09,0.060000000000000005,2418053176.095948
34,0.09,0.07,1244842584.1169891
35,0.09,0.08,487440697.60778975
36,0.09999999999999999,0.01,20597015660.211365
37,0.09999999999999999,0.02,15951567683.712784
38,0.09999999999999999,0.03,12027081301.9048
39,0.09999999999999999,0.04,8761627030.463743
40,0.09999999999999999,0.05,6098064619.812881
41,0.09999999999999999,0.060000000000000005,3983683247.3891964
42,0.09999999999999999,0.07,2369868535.7663126
43,0.09999999999999999,0.08,1211794398.6005354
44,0.09999999999999999,0.09,468137865.22605217
45,0.10999999999999999,0.01,25826506521.504635
46,0.10999999999999999,0.02,20421819142.15788
47,0.10999999999999999,0.03,15802735110.34364
48,0.10999999999999999,0.04,11902338997.80368
49,0.10999999999999999,0.05,8658878795.330273
50,0.10999999999999999,0.060000000000000005,6015378227.082121
51,0.10999999999999999,0.07,3919277965.5012584
52,0.10999999999999999,0.08,2322103594.394863
53,0.10999999999999999,0.09,1179158328.0833478
54,0.10999999999999999,0.09999999999999999,449238642.9186859
55,0.11999999999999998,0.01,31854190000.283676
56,0.11999999999999998,0.02,25622913787.78766
57,0.11999999999999998,0.03,20247061591.269867
58,0.11999999999999998,0.04,15654344015.61663
59,0.11999999999999998,0.05,11778038136.493938
60,0.11999999999999998,0.060000000000000005,8556569792.008994
61,0.11999999999999998,0.07,5933127008.963129
62,0.11999999999999998,0.08,3855302245.055117
63,0.11999999999999998,0.09,2274761301.0802984
64,0.11999999999999998,0.09999999999999999,1146936917.0095108
65,0.11999999999999998,0.10999999999999999,430745213.77298105
66,0.12999999999999998,0.01,38750098686.96106
67,0.12999999999999998,0.02,31619517956.383137
68,0.12999999999999998,0.03,25419761969.380913
69,0.12999999999999998,0.04,20072749563.894676
70,0.12999999999999998,0.05,15506400174.078638
