,I_t
0,207561.0
1,209683.55137476663
2,211418.69168378474
3,212754.01866847218
4,213680.12866015
5,214190.75923272377
6,214282.8807424911
7,213956.73443084973
8,213215.81628004543
9,212066.80735186662
10,210519.45283785608
11,208586.3934436633
12,206282.9539628595
13,203626.8949201064
14,200638.1339455835
15,197338.44406137953
16,193751.1363096682
17,189900.73413902562
18,185812.64670848305
19,181512.84779815064
20,177027.56636728084
21,172382.9940169404
22,167605.01373843534
23,162718.95340307322
24,157749.36651373527
25,152719.84182953145
26,147652.84262126446
27,142569.57554087281
28,137489.88840917914
29,132432.19565345903
30,127413.42966400934
31,122449.01598636019
32,117552.87001815577
33,112737.41272888832
34,108013.60285616267
35,103390.98304213004
36,98877.73744565301
37,94480.75848714965
38,90205.7205419508
39,86057.15858333661
40,82038.54997832386
41,78152.39784920272
42,74400.31462460617
43,70783.10460973754
44,67300.84460177869
45,63952.96176013533
46,60738.30810977884
47,57655.2312081502
48,54701.640641291095
49,51875.070133058434
50,49172.73515293753
51,46591.58599392539
52,44128.3563632921
53,41779.607586985716
54,39541.76857435562
55,37411.171725087326
56,35384.08498610865
57,33456.74028402924
58,31625.358569622756
59,29886.17171607029
60,28235.441513168913
61,26669.475996378213
62,25184.643343232587
63,23777.383560986225
64,22444.218178983476
65,21181.758147671062
66,19986.710133819986
67,18855.881388759015
68,17786.183353528533
69,16774.634152074734
70,15818.360111101956
71,14914.596433124341
72,14060.68713770961
73,13254.084374959775
74,12492.347204972786
75,11773.139927401626
76,11094.230036282623
77,10453.485867038899
78,9848.873994963786
79,9278.4564375308
80,8740.387706533802
81,8232.911750301466
82,7754.358821020249
83,7303.142297503782
84,6877.755489528157
85,6476.768446075872
86,6098.824786461256
87,5742.638570312995
88,5406.991219732542
89,5090.728504599914
90,4792.757599931741
91,4512.044222383406
92,4247.6098514025125
93,3998.5290391615426
94,3763.926812201985
95,3542.976166690801
96,3334.895658304967
97,3138.947087004606
98,2954.4332763151756
99,2780.6959462008344
100,2617.11367816245
101,2463.099970823802
102,2318.101383968685
103,2181.595768750983
104,2053.090581611662
105,1932.1212792939762
106,1818.2497922448406
107,1711.0630736207838
108,1610.1717210762988
109,1515.208668496441
110,1425.8279448404041
111,1341.703497285192
112,1262.5280758954748
113,1188.0121770947014
114,1117.883043271321
115,1051.8837159205705
116,989.772139795055
117,931.320315614788
118,876.3134989682524
119,824.5494431192652
120,775.8376835191029
121,729.9988619086406
122,686.8640879805562
123,646.2743366563668
124,608.0798791167439
125,572.1397458058241
126,538.3212197107703
127,506.4993582964064
128,476.55654255114257
129,448.38205167448746
130,421.8716620080921
131,396.927268881414
132,373.456530109684
133,351.37252994587516
134,330.59346234981876
135,311.0423324964936
136,292.6466755018676
137,275.3382913985357
138,259.05299544482386
139,243.73038290007935
140,229.31360744560374
141,215.74917247517803
142,202.98673452145488
143,190.97891812472295
144,179.68114148876236
145,169.05145230478595
146,159.0503731588753
147,149.64075597095206
148,140.78764494425045
149,132.4581475335495
150,124.62131296816108
151,117.24801789192036
152,110.31085870726102
153,103.78405023394674
154,97.643330315237
155,91.86587002525464
156,86.43018915115445
157,81.31607664242568
158,76.50451573735359
159,71.97761349336844
160,67.71853446377906
161,63.711438278268176
162,59.94142089856872
163,56.39445933398698
164,53.05735961393346
165,49.917707826406286
166,46.96382404248423
167,44.18471895736287
168,41.57005308834387
169,39.11009837949696
170,36.79570207148814
171,34.618252703336175
172,32.56964812065088
173,30.64226537224751
174,28.828932383947897
175,27.122901304894036
176,25.517823427837072
177,24.007725590645023
178,22.586987971717026
179,21.250323197119087
180,19.99275668208472
181,18.80960813407065
182,17.696474148838995
183,16.64921183506835
184,15.663923406791639
185,14.736941686531619
186,13.864816465369072
187,13.044301669345353
188,12.27234328458222
189,11.546067996308034
190,10.862772499620975
191,10.219913442306275
192,9.61509796236478
193,9.046074785112927
194,8.510725846787343
195,8.007058413538664
196,7.53319766653544
197,7.087379725627467
198,6.667945085644316
199,6.273332440935642
