,I_t
0,50703.0
1,48139.746894396696
2,45682.68795855051
3,43329.99661767993
4,41079.55938783737
5,38929.02132140718
6,36875.82777767432
7,34917.26257072327
8,33050.48259062832
9,31272.549028164358
10,29580.45535920244
11,27971.152263635726
12,26441.569666136886
13,24988.636093238532
14,23609.29554403644
15,22300.522071037485
16,21059.33226402237
17,19882.795823890552
18,18768.04440584513
19,17712.278902422346
20,16712.775327168758
21,15766.88944954638
22,14872.060321173878
23,14025.812823008559
24,13225.759352714256
25,12469.600761379561
26,11755.126639051528
27,11080.215039306479
28,10442.831724342735
29,9841.029003881687
30,9272.944233519574
31,8736.798031086117
32,8230.892263031103
33,7753.607846862054
34,7303.40241017538
35,6878.807841835805
36,6478.42776633773
37,6100.934968298847
38,5745.068790361542
39,5409.632524481756
40,5093.490813638922
41,4795.567078375869
42,4514.8409802469505
43,4250.345932189989
44,4001.1666640184003
45,3766.4368496309444
46,3545.3368011364255
47,3337.091233869385
48,3140.96710521198
49,2956.271529219852
50,2782.3497682604198
51,2618.583302196521
52,2464.387975073828
53,2319.212218785385
54,2182.5353527803672
55,2053.8659585473442
56,1932.740327326395
57,1818.7209792817146
58,1711.395252190096
59,1610.3739575647173
60,1515.290102032638
61,1425.7976717134368
62,1341.570477301291
63,1262.3010575296769
64,1187.6996386934525
65,1117.4931479144325
66,1051.424277861085
67,989.2506006684328
68,930.7437288486292
69,875.6885210343153
70,823.8823304542042
71,775.134294102141
72,729.2646606259938
73,686.1041550302011
74,645.4933783548094
75,607.2822405636724
76,571.3294249445705
77,537.5018823938332
78,505.6743540271989
79,475.7289206267773
80,447.5545775008083
81,421.0468333982069
82,396.1073321834689
83,372.6434960392423
84,350.568189023642
85,329.799399867125
86,310.2599429493982
87,291.8771764503768
88,274.5827367206359
89,258.31228796610964
90,243.00528638900994
91,228.6047579720918
92,215.05708913651887
93,202.31182954473513
94,190.3215063589703
95,179.04144930335823
96,168.42962591318704
97,158.4464863885891
98,149.05481750208043
99,140.21960503983775
100,131.90790428552086
101,124.08871808287302
102,116.73288203932458
103,109.81295645745045
104,103.30312460444873
105,97.17909695187797
106,91.41802103877211
107,85.99839663100056
108,80.89999586841401
109,76.10378810896415
110,71.59186919566119
111,67.34739488798516
112,63.35451821424236
113,59.598330515403504
114,56.06480596421713
115,52.74074935590337
116,49.61374697853784
117,46.67212038237196
118,43.90488287783984
119,41.301698601907376
120,38.85284400175933
121,36.54917159362573
122,34.382075862849256
123,32.34346117911877
124,30.42571160816704
125,28.62166250817811
126,26.924573805695967
127,25.32810485199318
128,23.826290766668034
129,22.413520180710922
130,21.084514296435422
131,19.834307186523656
132,18.65822725900735
133,17.551879819310944
134,16.511130664536775
135,15.532090648989204
136,14.61110116352802
137,13.744720474724812
138,12.92971087298088
139,12.163026581763654
140,11.441802382940924
141,10.763342915848941
142,10.125112610231131
143,9.524726215537797
144,8.959939891292562
145,8.428642825316219
146,7.9288493485608615
147,7.458691517153968
148,7.016412133989878
149,6.600358183841666
150,6.208974657505447
151,5.840798741937413
152,5.494454354706782
153,5.168647002370226
154,4.862158943580073
155,4.573844638874052
156,4.302626470162726
157,4.047490713936059
158,3.80748375315645
159,3.581708513695522
160,3.369321112009364
161,3.1695277015347454
162,2.9815815060301216
163,2.8047800287826647
164,2.63846242725874
165,2.482007043392591
166,2.3348290802888267
167,2.1963784166607607
168,2.066137550840757
169,1.9436196666824244
170,1.828366814129541
171,1.7199481976547053
172,1.6179585661734632
173,1.5220166984185752
174,1.4317639781155511
175,1.3468630536359487
176,1.2669965771204188
177,1.191866018360294
178,1.1211905490057426
179,1.0547059929311915
180,0.9921638388358518
181,0.933330311389649
182,0.8779854974535803
183,0.8259225241092597
184,0.7769467854259687
185,0.7308752150756199
186,0.6875356020773329
187,0.6467659471144663
188,0.6084138570185454
189,0.5723359751571314
190,0.5383974455968374
191,0.5064714090389006
192,0.4764385286434463
193,0.44818654397026414
194,0.421609851368989
195,0.396609109250413
196,0.3730908667636402
197,0.35096721449126034
198,0.3301554558570034
199,0.310577798017743
