,beta,gamma,sse
0,0.02,0.01,739095790.7871771
1,0.03,0.01,1430777378.14353
2,0.03,0.02,721425316.255746
3,0.04,0.01,2546850703.02055
4,0.04,0.02,1398295027.0210638
5,0.04,0.03,704205362.840395
6,0.05,0.01,4128006807.298403
7,0.05,0.02,2498033458.0482836
8,0.05,0.03,1366274047.6242006
9,0.05,0.04,687438552.6195223
10,0.060000000000000005,0.01,6218233337.585814
11,0.060000000000000005,0.02,4061197533.3415956
12,0.060000000000000005,0.03,2449688081.022622
13,0.060000000000000005,0.04,1334717467.368752
14,0.060000000000000005,0.05,671127486.6475716
15,0.07,0.01,8865069280.711792
16,0.07,0.02,6131629269.1896
17,0.07,0.03,3994870174.1526275
18,0.07,0.04,2401818051.321929
19,0.07,0.05,1303628290.5724993
20,0.07,0.060000000000000005,655274744.8605818
21,0.08,0.01,12119878978.168934
22,0.08,0.02,8756709514.159391
23,0.08,0.03,6045516606.652946
24,0.08,0.04,3929028712.68379
25,0.08,0.05,2354426822.943718
26,0.08,0.060000000000000005,1273009498.3456395
27,0.08,0.07,639882885.983778
28,0.09,0.01,16038146852.184679
29,0.09,0.02,11987630880.436068
30,0.09,0.03,8648849970.109488
31,0.09,0.04,5959899893.622531
32,0.09,0.05,3863677103.993126
33,0.09,0.060000000000000005,2307517824.377931
34,0.09,0.07,1242864048.4834797
35,0.09,0.08,624954447.4411274
36,0.09999999999999999,0.01,20679794379.642883
37,0.09999999999999999,0.02,15879691291.326727
38,0.09999999999999999,0.03,11855891015.13728
39,0.09999999999999999,0.04,8541495816.110339
40,0.09999999999999999,0.05,5874783643.082552
41,0.09999999999999999,0.060000000000000005,3798819275.098292
42,0.09999999999999999,0.07,2261094458.4828844
43,0.09999999999999999,0.08,1213194875.3614814
44,0.09999999999999999,0.09,610491945.2669337
45,0.10999999999999999,0.01,26109520960.740677
46,0.10999999999999999,0.02,20492609672.57644
47,0.10999999999999999,0.03,15721751019.075544
48,0.10999999999999999,0.04,11724665243.65424
49,0.10999999999999999,0.05,8434652185.997678
50,0.10999999999999999,0.060000000000000005,5790172337.186602
51,0.10999999999999999,0.07,3734459124.8334007
52,0.10999999999999999,0.08,2215160102.3636775
53,0.10999999999999999,0.09,1184004889.8324404
54,0.10999999999999999,0.09999999999999999,596497874.0194305
55,0.11999999999999998,0.01,32397170447.489872
56,0.11999999999999998,0.02,25890865425.025265
57,0.11999999999999998,0.03,20305946193.3648
58,0.11999999999999998,0.04,15564332668.00724
59,0.11999999999999998,0.05,11593959390.294163
60,0.11999999999999998,0.060000000000000005,8328324179.7017
61,0.11999999999999998,0.07,5706070427.092949
62,0.11999999999999998,0.08,3670600523.7087183
63,0.11999999999999998,0.09,2169718107.2531652
64,0.11999999999999998,0.09999999999999999,1155296979.1260362
65,0.11999999999999998,0.10999999999999999,582974706.6963656
66,0.12999999999999998,0.01,39618125223.419266
67,0.12999999999999998,0.02,32144063433.5051
68,0.12999999999999998,0.03,25672735758.775566
69,0.12999999999999998,0.04,20119811431.347683
70,0.12999999999999998,0.05,15407442829.9168
71,0.12999999999999998,0.060000000000000005,11463779242.068981
72,0.12999999999999998,0.07,8222516863.057922
73,0.12999999999999998,0.08,5622482332.802862
74,0.12999999999999998,0.09,3607247313.7731686
75,0.12999999999999998,0.09999999999999999,2124771798.395476
76,0.12999999999999998,0.10999999999999999,1127074006.7505689
77,0.12999999999999998,0.11999999999999998,569924894.6525996
78,0.13999999999999999,0.01,47853729860.59687
79,0.13999999999999999,0.02,39327326492.19055
80,0.13999999999999999,0.03,31891485433.173195
81,0.13999999999999999,0.04,25455140402.73226
82,0.13999999999999999,0.05,19934212830.994923
83,0.13999999999999999,0.060000000000000005,15251088055.565304
84,0.13999999999999999,0.07,11334130548.478355
85,0.13999999999999999,0.08,8117235267.621604
86,0.13999999999999999,0.09,5539412443.002381
87,0.13999999999999999,0.09999999999999999,3544403308.479753
88,0.13999999999999999,0.10999999999999999,2080324474.9320774
89,0.13999999999999999,0.11999999999999998,1099338812.3969636
90,0.13999999999999999,0.12999999999999998,557350867.5196846
91,0.15,0.01,57191746523.86974
92,0.15,0.02,47521717160.36211
93,0.15,0.03,39037058200.887665
94,0.15,0.04,31639445943.291397
95,0.15,0.05,25238087748.25406
96,0.15,0.060000000000000005,19749157791.61797
97,0.15,0.07,15095274854.432068
98,0.15,0.08,11205019021.297144
99,0.15,0.09,8012484390.485617
100,0.15,0.09999999999999999,5456865114.907167
101,0.15,0.10999999999999999,3482072292.5538044
102,0.15,0.11999999999999998,2036379409.7903733
103,0.15,0.12999999999999998,1072094211.845041
104,0.15,0.13999999999999999,545255033.1274526
105,0.16,0.01,67726844445.55415
106,0.16,0.02,56814691205.20648
107,0.16,0.03,47190234365.48349
108,0.16,0.04,38747331018.08817
109,0.16,0.05,31387954406.29397
110,0.16,0.060000000000000005,25021586136.98895
111,0.16,0.07,19564653667.08627
112,0.16,0.08,14940009694.47084
113,0.16,0.09,11076450334.366314
114,0.16,0.09999999999999999,7908269194.102304
115,0.16,0.10999999999999999,5374844674.110469
116,0.16,0.11999999999999998,3420258021.864089
117,0.16,0.12999999999999998,1992939849.5748
118,0.16,0.13999999999999999,1045342996.8720119
119,0.16,0.15,533639777.42757106
120,0.17,0.01,79561125957.24533
121,0.17,0.02,67300584940.40326
122,0.17,0.03,56438163029.2815
123,0.17,0.04,46859293444.27084
124,0.17,0.05,38458155552.505554
125,0.17,0.060000000000000005,31137020209.8778
126,0.17,0.07,24805643860.55084
127,0.17,0.08,19380707765.54971
128,0.17,0.09,14785299001.871176
129,0.17,0.09999999999999999,10948430123.388792
130,0.17,0.10999999999999999,7804594606.108678
131,0.17,0.11999999999999998,5293355414.434721
132,0.17,0.12999999999999998,3358964223.2967825
133,0.17,0.13999999999999999,1950009014.4605246
134,0.17,0.15,1019087935.1632173
135,0.17,0.16,522507464.41911685
136,0.18000000000000002,0.01,92804691739.53165
137,0.18000000000000002,0.02,79081138931.35365
138,0.18000000000000002,0.03,66874847293.89522
139,0.18000000000000002,0.04,56062175405.59853
140,0.18000000000000002,0.05,46528906299.09189
141,0.18000000000000002,0.060000000000000005,38169542352.56331
142,0.18000000000000002,0.07,30886652686.634083
143,0.18000000000000002,0.08,24590269160.202423
144,0.18000000000000002,0.09,19197327349.164963
145,0.18000000000000002,0.09999999999999999,14631149160.824043
146,0.18000000000000002,0.10999999999999999,10820963985.72856
147,0.18000000000000002,0.11999999999999998,7701465519.155247
148,0.18000000000000002,0.12999999999999998,5212401597.785762
149,0.18000000000000002,0.13999999999999999,3298194594.632325
150,0.18000000000000002,0.15,1907590098.0895982
151,0.18000000000000002,0.16,993331770.2251172
152,0.18000000000000002,0.17,511860436.07609224
153,0.19000000000000003,0.01,107576248135.78964
154,0.19000000000000003,0.02,92266060710.58423
155,0.19000000000000003,0.03,78601665636.82872
156,0.19000000000000003,0.04,66449646513.11461
157,0.19000000000000003,0.05,55686741670.99999
158,0.19000000000000003,0.060000000000000005,46199084765.887924
159,0.19000000000000003,0.07,37881501905.97609
160,0.19000000000000003,0.08,30636861113.687286
161,0.19000000000000003,0.09,24375470226.543755
162,0.19000000000000003,0.09999999999999999,19014519633.828064
163,0.19000000000000003,0.10999999999999999,14477566513.292145
164,0.19000000000000003,0.11999999999999998,10694057480.214453
165,0.19000000000000003,0.12999999999999998,7598886790.738737
166,0.19000000000000003,0.13999999999999999,5131987454.010811
167,0.19000000000000003,0.15,3237952804.4250097
168,0.19000000000000003,0.16,1865686267.4696498
169,0.19000000000000003,0.17,968077221.3004833
170,0.19000000000000003,0.18000000000000002,501701012.27694774
171,0.20000000000000004,0.01,124003759573.51743
172,0.20000000000000004,0.02,106973629330.6654
173,0.20000000000000004,0.03,91727932090.41562
174,0.20000000000000004,0.04,78122722851.2127
175,0.20000000000000004,0.05,66024997525.05461
176,0.20000000000000004,0.060000000000000005,55311875089.118225
177,0.20000000000000004,0.07,45869840613.69827
178,0.20000000000000004,0.08,37594044639.33894
179,0.20000000000000004,0.09,30387654712.340103
180,0.20000000000000004,0.09999999999999999,24161255199.206306
181,0.20000000000000004,0.10999999999999999,18832291788.91177
182,0.20000000000000004,0.11999999999999998,14324557358.785057
183,0.20000000000000004,0.12999999999999998,10567716126.947767
184,0.20000000000000004,0.13999999999999999,7496863243.038009
185,0.20000000000000004,0.15,5052117180.759264
186,0.20000000000000004,0.16,3178242491.885556
187,0.20000000000000004,0.17,1824300662.8751407
188,0.20000000000000004,0.18000000000000002,943326983.2858683
189,0.20000000000000004,0.19000000000000003,492031490.7360728
190,0.21000000000000005,0.01,142225149346.46185
191,0.21000000000000005,0.02,123331344777.54512
192,0.21000000000000005,0.03,106371498031.60886
193,0.21000000000000005,0.04,91190324618.11977
194,0.21000000000000005,0.05,77644327263.73517
195,0.21000000000000005,0.060000000000000005,65600915175.99395
196,0.21000000000000005,0.07,54937588849.8351
