,I_t
0,122594.0
1,122228.64628608458
2,121750.00912300158
3,121160.00908139278
4,120460.96290315368
5,119655.56471609867
6,118746.86461458287
7,117738.24489057818
8,116633.39422342132
9,115436.28015425576
10,114151.12018294072
11,112782.35183091577
12,111334.60201334771
13,109812.65605814087
14,108221.42669847017
15,106565.92334990522
16,104851.22196351527
17,103082.43572321805
18,101264.68682973365
19,99403.07958551252
20,97502.67496560479
21,95568.46682928306
22,93605.35989693974
23,91618.14958691884
24,89611.50377801782
25,87589.94653584463
26,85557.84381540473
27,83519.39112851718
28,81478.60314313628
29,79439.30516253863
30,77405.12641570912
31,75379.49507614903
32,73365.6349147084
33,71366.56348283807
34,69385.09171575378
35,67423.82484026047
36,65485.16446923402
37,63571.31176381392
38,61684.271545030584
39,59825.85723867487
40,57997.6965405143
41,56201.237693275456
42,54437.75627195744
43,52708.36237983878
44,51014.00816382546
45,49355.495564410514
46,47733.48422233868
47,46148.49947097487
48,44600.940350255434
49,43091.087584868656
50,41619.11147588933
51,40185.07966142036
52,38788.96470782366
53,37430.6514988157
54,36109.94439503313
55,34826.57414162427
56,33580.204505982525
57,32370.438631907215
58,31196.82510025801
59,30058.863689571343
60,28956.01083314218
61,27887.684771759017
62,26853.270403631675
63,25852.123835090522
64,24883.576637382914
65,23946.939816369995
66,23041.507503155906
67,22166.560374683926
68,21321.368814131256
69,20505.195821546506
70,19717.299685621292
71,18956.936427788125
72,18223.362030008786
73,17515.83445767679
74,16833.615489019758
75,16175.972362266293
76,15542.17925165027
77,14931.518583074927
78,14343.282199960175
79,13776.772389458634
80,13231.302778857522
81,12706.19911159208
82,12200.799911888218
83,11714.457046633446
84,11246.536192650728
85,10796.417217124035
86,10363.494478500774
87,9947.17705477795
88,9546.888905668518
89,9162.068974744003
90,8792.171237260849
91,8436.664699002375
92,8095.033351106781
93,7766.776085505129
94,7451.406575261991
95,7148.453123795998
96,6857.458486657858
97,6577.979669259481
98,6309.587703679637
99,6051.867407418647
100,5804.417126736749
101,5566.848466987519
102,5338.786012148605
103,5119.867035556491
104,4909.741203669592
105,4708.070274514025
106,4514.527792308386
107,4328.798779617204
108,4150.5794282467905
109,3979.5767899714697
110,3815.5084680620143
111,3658.1023104809983
112,3507.096105511163
113,3362.237280492251
114,3223.282604258582
115,3089.997893793433
116,2962.1577255466054
117,2839.5451517979272
118,2721.95142239146
119,2609.1757121124356
120,2501.0248539310783
121,2397.313078294088
122,2297.861758605365
123,2202.4991630021955
124,2111.060212501311
125,2023.3862455607177
126,1939.3247890776483
127,1858.7293358202608
128,1781.459128270474
129,1707.3789488374503
130,1636.3589163854767
131,1568.274289006182
132,1503.0052729529898
133,1440.4368376452933
134,1380.458536640884
135,1322.964334467568
136,1267.8524391984993
137,1215.025140650465
138,1164.3886540800509
139,1115.8529692492084
140,1069.331704729126
141,1024.7419673094355
142,982.0042163785382
143,941.0421331401753
144,901.7824945312245
145,864.1550517060077
146,828.0924129531122
147,793.5299309117908
148,760.4055939563831
149,728.6599216188528
150,698.235863921409
151,669.0787044932727
152,641.1359673478926
153,614.3573271993224
154,588.6945231989802
155,564.1012759766319
156,540.5332078721291
157,517.9477662471852
158,496.3041497692697
159,475.56323756252505
160,455.6875211234528
161,436.6410389019637
162,418.38931345122825
163,400.89929105259506
164,384.13928372465114
165,368.0789135282784
166,352.68905908230846
167,337.9418042070824
168,323.81038861588775
169,310.26916057686014
170,297.2935314705031
171,284.8599321704927
172,272.945771177891
173,261.5293944412943
174,250.5900467977832
175,240.10783497182695
176,230.06369207151712
177,220.43934352367086
178,211.2172743914457
179,202.38069802015298
180,193.91352595893906
181,185.80033910792827
182,178.02636004228629
183,170.57742646646923
184,163.439965753674
185,156.6009705271977
186,150.04797524205264
187,143.76903372676585
188,137.75269764682253
189,131.98799585269137
190,126.46441457679616
191,121.17187844517609
192,116.10073227090658
193,111.24172359763418
194,106.58598596281585
195,102.1250228514443
196,97.85069231219
197,93.75519220899693
198,89.83104608223465
199,86.07108959453615
