,I_t
0,115115.0
1,124157.7012033416
2,133798.68921859338
3,144058.45035264266
4,154954.72834548616
5,166501.8006076361
6,178709.67966058123
7,191583.24472920795
8,205121.3122754289
9,219315.65880417766
10,234150.01447409228
11,249599.05180079403
12,265627.3998686987
13,282188.72069612343
14,299224.89035867807
15,316665.3326998898
16,334426.5573898745
17,352411.95611249993
18,370511.91012433375
19,388604.25872236025
20,406555.17077366996
21,424220.45007722976
22,441447.28989515826
23,458076.47280639195
24,473944.98979919666
25,488889.0283506728
26,502747.25465037196
27,515364.2919225562
28,526594.2769574155
29,536304.3624146255
30,544378.0249040081
31,550718.0395046818
32,555248.9908350941
33,557919.208843058
34,558702.0431582296
35,557596.4214161253
36,554626.6721265094
37,549841.6287866283
38,543313.0663397493
39,535133.5512833486
40,525413.8107391673
41,514279.74225516105
42,501869.1943986865
43,488328.64843587374
44,473809.92433693813
45,458467.0212650749
46,442453.1851799943
47,425918.27592708345
48,409006.4848558198
49,391854.433098712
50,374589.6613479065
51,357329.50516543526
52,340180.3360934936
53,323237.13832098886
54,306583.383377246
55,290291.16102656076
56,274421.52285325975
57,259024.99550246546
58,244142.2226958108
59,229804.69850547507
60,216035.55851685695
61,202850.40007149774
62,190258.10745628437
63,178261.66245966093
64,166858.9249820979
65,156043.37225500683
66,145804.7886262206
67,136129.90078607932
68,127002.95574023141
69,118406.24080849398
70,110320.54648225378
71,102725.57415257576
72,95600.2915774449
73,88923.23953943347
74,82672.7935022582
75,76827.38425000437
76,71365.68152536025
77,66266.74460705141
78,61510.143610729225
79,57076.05508594317
80,52945.33523415507
81,49099.57380471433
82,45521.13144952946
83,42193.16304212835
84,39099.629199723306
85,36225.297992599364
86,33555.73858681398
87,31077.30834574045
88,28777.134714321448
89,26643.093027189858
90,24663.78121767775
91,22828.492258400307
92,21127.18503453707
93,19550.454236948128
94,18089.49976258289
95,16736.096022966245
96,15482.561486599625
97,14321.72871665927
98,13246.915110244096
99,12251.894498534699
100,11330.869727572495
101,10478.446306042511
102,9689.607178621325
103,8959.688660394426
104,8284.357548897005
105,7659.589414905902
106,7081.648060694559
107,6547.066124607123
108,6052.626803118907
109,5595.346655686591
110,5172.459453356683
111,4781.401029039496
112,4419.7950853486345
113,4085.439914764874
114,3776.2959864477116
115,3490.4743541515627
116,3226.225840291006
117,2981.9309521432037
118,2756.090487393908
119,2547.3167876578423
120,2354.325600177889
121,2175.9285095833848
122,2011.025903327255
123,1858.6004361932542
124,1717.7109610426774
125,1587.486894734289
126,1467.1229898857273
127,1355.8744848368744
128,1253.0526058161138
129,1158.0203968920719
130,1070.1888548114505
131,989.0133472746528
132,913.9902945832789
133,844.6540959064781
134,780.5742826567836
135,721.3528826413079
136,666.6219797624908
137,616.0414550858361
138,569.2968960724442
139,526.0976616940509
140,486.17509201030236
141,449.2808515947908
142,415.1853969506627
143,383.6765587611102
144,354.5582304774614
145,327.6491553605509
146,302.78180466214974
147,279.80134016497504
148,258.5646547945809
149,238.93948547657334
150,220.80359284029123
151,204.04400276745775
152,188.556305153323
153,174.24400559037625
154,161.0179260025882
155,148.79565055302885
156,137.5010134211751
157,127.06362529976032
158,117.41843569601572
159,108.50532833991646
160,100.26874720379408
161,92.65735082455001
162,85.62369279276966
163,79.12392643328445
164,73.11753185008698
165,67.56706364583468
166,62.43791775328273
167,57.698115933614346
168,53.31810660548079
169,49.27058076926963
170,45.530301884287425
171,42.07394864272946
172,38.879969664029936
173,35.92844920692182
174,33.20098306473023
175,30.68056387248936
176,28.351475112792812
177,26.199193161215288
178,24.210296762007417
179,22.37238337087028
180,20.673991844242376
181,19.10453099394121
182,17.65421356243513
183,16.31399520770246
184,15.075518117771104
185,13.931058903814257
186,12.87348044728384
187,11.896187401156583
188,10.993085068100498
189,10.158541399381477
190,9.387351877751495
191,8.67470706551085
192,8.016162615528485
193,7.407611558339352
194,6.845258692610812
195,6.325596919369369
196,5.8453853724855245
197,5.401629209103524
198,4.991560934043601
199,4.61262314176124
