,I_t
0,65309.0
1,66531.06475386546
2,67722.82657314
3,68880.93194464014
4,70002.03236766641
5,71082.80282218289
6,72119.9608877498
7,73110.28634829722
8,74050.64110237139
9,74937.98918514517
10,75769.41669766573
11,76542.15143088653
12,77253.5819673185
13,77901.27604189688
14,78482.99794608177
15,78996.72476539717
16,79440.66125057946
17,79813.25313617222
18,80113.19873759674
19,80339.45867817599
20,80491.26362093979
21,80568.11990585258
22,80569.8130208761
23,80496.40886444972
24,80348.25278693927
25,80125.96642875165
26,79830.44240251389
27,79462.83689536055
28,79024.56029438981
29,78517.26596320458
30,77942.83731969031
31,77303.37338440365
32,76601.17298485302
33,75838.71781332667
34,75018.65454464499
35,74143.7762252504
36,73217.0031464602
37,72241.36341263412
38,71219.97340966808
39,70156.01837089409
40,69052.73322647752
41,67913.38390912703
42,66741.24927376684
43,65539.60377217842
44,64311.70100591304
45,63060.75826241263
46,61789.94212064211
47,60502.35519399039
48,59201.024060066404
49,57888.8884095886
50,56568.7914300871
51,55243.47142480895
52,53915.55465319763
53,52587.54936672233
54,51261.841002735666
55,49940.688489475506
56,48626.22160730028
57,47320.43934472779
58,46025.20918278103
59,44742.26723745473
60,43473.21918770958
61,42219.54191517151
62,40982.585781546346
63,39763.577470535114
64,38563.6233226306
65,37383.71309347033
66,36224.7240692976
67,35087.42547642744
68,33972.48312532383
69,32880.46423386947
70,31811.842378561934
71,30767.002526619963
72,29746.24610626059
73,28749.796076651128
74,27777.801963197468
75,26830.34482785878
76,25907.442148042814
77,25009.05258130892
78,24135.080596565702
79,23285.380955683453
80,22459.763032438157
81,21657.99495846004
82,20879.807588374777
83,20124.898278602945
84,19392.93447632881
85,18683.55711697158
86,17996.383830100876
87,17331.011955144637
88,16687.02136945458
89,16063.97713233457
90,15461.431949514123
91,14878.928463276168
92,14316.001374038466
93,13772.17939965444
94,13246.987079054345
95,12739.946427103463
96,12250.578447721728
97,11778.404512399484
98,11322.94761126688
99,10883.733483838902
100,10460.291636472592
101,10052.15625344554
102,9658.867008402003
103,9279.969782721577
104,8915.017297150844
105,8563.569662805752
106,8225.194857406474
107,7899.469132350769
108,7585.977355970159
109,7284.313298048284
110,6994.079860415504
111,6714.889258170055
112,6446.363155815977
113,6188.132762352932
114,5939.838889104403
115,5701.131973829459
116,5471.672074430211
117,5251.128835342827
118,5039.181429484973
119,4835.518478427154
120,4639.837953259714
121,4451.847058441398
122,4271.262100739311
123,4097.808345203655
124,3931.219859963789
125,3771.2393514845267
126,3617.6179917830636
127,3470.1152389771037
128,3328.4986524133756
129,3192.543703512445
130,3062.0335833601757
131,2936.7590079780057
132,2816.5180221130663
133,2701.1158023046646
134,2590.36445990545
135,2484.0828446633345
136,2382.096349403582
137,2284.2367162890982
138,2190.341845080507
139,2100.255603765777
140,2013.8276418816872
141,1930.9132068059578
142,1851.3729632591962
143,1775.072816219636
144,1701.883737420712
145,1631.6815955716331
146,1564.3469904140036
147,1499.7650907030418
148,1437.8254761798394
149,1378.4219835812005
150,1321.4525567157355
151,1266.8191006189095
152,1214.4273397854731
153,1164.1866804650324
154,1116.010076995288
155,1069.813902137579
156,1025.5178213706788
157,983.0446710912358
158,942.3203406626728
159,903.2736582487378
160,865.8362803630897
161,829.9425850622653
162,795.5295687060187
163,762.536746206297
164,730.9060546839412
165,700.5817604505439
166,671.5103692316786
167,643.6405395469159
168,616.9229991615986
169,591.3104645252344
170,566.7575631115316
171,543.2207585755325
172,520.6582786439445
173,499.03004565561787
174,478.2976096701336
175,458.4240840636318
176,439.37408353230234
177,421.1136644253643
178,403.6102673308514
179,386.8326618390936
180,370.75089341041604
181,355.33623227526147
182,340.56112429666166
183,326.39914372673684
184,312.82494779066946
185,299.81423303338266
186,287.34369336593977
187,275.39097975046434
188,263.9346614641596
189,252.9541888847689
190,242.4298577415673
191,232.34277477770172
192,222.6748247714008
193,213.40863886525182
194,204.52756415439003
195,196.01563448606322
196,187.85754242461675
197,180.03861233749564
198,172.544774559374
199,165.36254059300035
