,beta,gamma,sse
0,0.01,0.02,136197.06851066367
1,0.01,0.03,291857.02797926276
2,0.02,0.03,136081.61948994338
3,0.01,0.04,828202.3732008892
4,0.02,0.04,292669.04112546425
5,0.03,0.04,135968.29210612297
6,0.01,0.05,1700178.1199865914
7,0.02,0.05,829833.2093654983
8,0.03,0.05,293484.16540695867
9,0.04,0.05,135857.09505032914
10,0.01,0.060000000000000005,2867101.6300418545
11,0.02,0.060000000000000005,1702529.6643683729
12,0.03,0.060000000000000005,831467.9831371771
13,0.04,0.060000000000000005,294302.4081885319
14,0.05,0.060000000000000005,135748.03702062354
15,0.01,0.07,4292258.992817789
16,0.02,0.07,2870085.320452084
17,0.03,0.07,1704885.8304405992
18,0.04,0.07,833106.7007177904
19,0.05,0.07,295123.7768404715
20,0.060000000000000005,0.07,135641.12672197755
21,0.01,0.08,5942538.195820193
22,0.02,0.08,4295794.936603168
23,0.03,0.08,2873074.192453539
24,0.04,0.08,1707246.6233865977
25,0.05,0.08,834749.3683134502
26,0.060000000000000005,0.08,295948.27873853024
27,0.07,0.08,135536.37286624784
28,0.01,0.09,7788095.7317312695
29,0.02,0.09,5946554.367354905
30,0.03,0.09,4299336.513751891
31,0.04,0.09,2876068.2503386247
32,0.05,0.09,1709612.048392938
33,0.060000000000000005,0.09,836395.992134533
34,0.07,0.09,296775.9212639106
35,0.08,0.09,135433.784172152
36,0.01,0.09999999999999999,9802053.597085977
37,0.02,0.09999999999999999,7792527.243130293
38,0.03,0.09999999999999999,5950576.530046739
39,0.04,0.09999999999999999,4302883.727778183
40,0.05,0.09999999999999999,2879067.498402129
41,0.060000000000000005,0.09999999999999999,1711982.1106493976
42,0.07,0.09999999999999999,838046.5783956453
43,0.08,0.09999999999999999,297606.7118032425
44,0.09,0.09999999999999999,135333.36936524228
45,0.01,0.10999999999999999,11960223.915513087
46,0.02,0.10999999999999999,9806842.035464233
47,0.03,0.10999999999999999,7796965.0219681915
48,0.04,0.10999999999999999,5954604.68673124
49,0.05,0.10999999999999999,4306436.582197917
50,0.060000000000000005,0.10999999999999999,2882071.940941203
51,0.07,0.10999999999999999,1714356.8153490024
52,0.08,0.10999999999999999,839701.1333156204
53,0.09,0.10999999999999999,298440.6577485655
54,0.09999999999999999,0.10999999999999999,135235.13717788324
55,0.01,0.11999999999999998,14240858.671289124
56,0.02,0.11999999999999998,11965316.740726013
57,0.03,0.11999999999999998,9811636.947028156
58,0.04,0.11999999999999998,7801409.070489737
59,0.05,0.11999999999999998,5958638.840245005
60,0.060000000000000005,0.11999999999999998,4309995.080528588
61,0.07,0.11999999999999998,2885081.5822553616
62,0.08,0.11999999999999998,1716736.1676879525
63,0.09,0.11999999999999998,841359.6631174823
64,0.09999999999999999,0.11999999999999998,299277.766497298
65,0.10999999999999999,0.11999999999999998,135139.09634922355
66,0.01,0.12999999999999998,16624422.268510904
67,0.02,0.12999999999999998,14246208.668644581
68,0.03,0.12999999999999998,11970416.183996227
69,0.04,0.12999999999999998,9816438.333509212
