,beta,gamma,sse
0,0.02,0.01,214349.12295430026
1,0.03,0.01,209969.26992470142
2,0.03,0.02,214349.12742241757
3,0.04,0.01,205445.77196375592
4,0.04,0.02,209969.27470019535
5,0.04,0.03,214349.1320358556
6,0.05,0.01,200776.18807058886
7,0.05,0.02,205445.77706572544
8,0.05,0.03,209969.27962856827
9,0.05,0.04,214349.13679461437
10,0.060000000000000005,0.01,195958.3553477618
11,0.060000000000000005,0.02,200776.19351894912
12,0.060000000000000005,0.03,205445.78232847436
13,0.060000000000000005,0.04,209969.2847098202
14,0.060000000000000005,0.05,214349.14169869374
15,0.07,0.01,190990.4408303809
16,0.07,0.02,195958.36116320992
17,0.07,0.03,200776.19913633712
18,0.07,0.04,205445.78775200262
19,0.07,0.05,209969.28994395104
20,0.07,0.060000000000000005,214349.1467480938
21,0.08,0.01,185870.99965642893
22,0.08,0.02,190990.44703434416
23,0.08,0.03,195958.36715628614
24,0.08,0.04,200776.20492275286
25,0.08,0.05,205445.7933363102
26,0.08,0.060000000000000005,209969.29533096083
27,0.08,0.07,214349.15194281438
28,0.09,0.01,180599.04027248177
29,0.09,0.02,185871.00627099272
30,0.09,0.03,190990.45342488989
31,0.09,0.04,195958.37332699035
32,0.09,0.05,200776.21087819617
33,0.09,0.060000000000000005,205445.7990813971
34,0.09,0.07,209969.3008708494
35,0.09,0.08,214349.15728285557
36,0.09999999999999999,0.01,175174.09744187834
37,0.09999999999999999,0.02,180599.04732029256
38,0.09999999999999999,0.03,185871.01308144702
39,0.09999999999999999,0.04,190990.4600020182
40,0.09999999999999999,0.05,195958.37967532268
41,0.09999999999999999,0.060000000000000005,200776.21700266717
42,0.09999999999999999,0.07,205445.80498726323
43,0.09999999999999999,0.08,209969.30656361685
44,0.09999999999999999,0.09,214349.1627682173
45,0.10999999999999999,0.01,169596.31390285457
46,0.10999999999999999,0.02,175174.10494601706
47,0.10999999999999999,0.03,180599.0545736517
48,0.10999999999999999,0.04,185871.02008779178
49,0.10999999999999999,0.05,190990.46676572892
50,0.10999999999999999,0.060000000000000005,195958.3862012829
51,0.10999999999999999,0.07,200776.22329616564
52,0.10999999999999999,0.08,205445.8110539086
53,0.10999999999999999,0.09,209969.31240926305
54,0.10999999999999999,0.09999999999999999,214349.16839889946
55,0.11999999999999998,0.01,163866.5316128899
56,0.11999999999999998,0.02,169596.32188667517
57,0.11999999999999998,0.03,175174.1126657047
58,0.11999999999999998,0.04,180599.06203255922
59,0.11999999999999998,0.05,185871.02729002692
60,0.11999999999999998,0.060000000000000005,190990.4737160221
61,0.11999999999999998,0.07,195958.39290487109
62,0.11999999999999998,0.08,200776.22975869174
63,0.11999999999999998,0.09,205445.81728133315
64,0.11999999999999998,0.09999999999999999,209969.31840778806
65,0.11999999999999998,0.10999999999999999,214349.1741749021
66,0.12999999999999998,0.01,157986.39361340023
67,0.12999999999999998,0.02,163866.54009981616
68,0.12999999999999998,0.03,169596.33009637627
69,0.12999999999999998,0.04,175174.12060094118
70,0.12999999999999998,0.05,180599.06969701496
71,0.12999999999999998,0.060000000000000005,185871.03468815243
72,0.12999999999999998,0.07,190990.48085289757
