,I_t
0,121115.0
1,120111.92271468388
2,119050.71893018846
3,117933.7210897147
4,116763.34334250589
5,115542.07118223823
6,114272.45104734763
7,112957.07995122032
8,111598.59520720487
9,110199.66430990653
10,108762.97503027473
11,107291.22577766153
12,105787.11627738885
13,104253.33860748762
14,102692.56863323743
15,101107.45787300856
16,99500.62582375764
17,97874.65276941592
18,96232.07309039136
19,94575.36908753538
20,92906.96532924661
21,91229.2235259386
22,89544.43793191668
23,87854.83127082072
24,86162.55117721432
25,84469.66714365158
26,82778.1679596414
27,81089.95962635725
28,79406.86372870901
29,77730.61624449716
30,76062.86676879867
31,74405.17813047774
32,72759.02637675652
33,71125.80110110603
34,69506.80608930471
35,67903.26025834274
36,66316.29886290313
37,64746.97494440322
38,63196.26099801225
39,61665.05083364982
40,60154.16160769517
41,58664.336002978926
42,57196.24453556638
43,55750.48796785757
44,54327.599808605875
45,52928.04888157844
46,51552.24194573291
47,50200.52635095312
48,48873.19271455897
49,47570.47760497164
50,46292.56622006625
51,45039.5950488704
52,43811.65450636279
53,42608.79153218498
54,41431.0121450963
55,40278.283945973744
56,39150.538563081405
57,38047.67403420663
58,36969.557121080186
59,35916.02555226528
60,34886.89019141475
61,33881.93712845741
62,32900.929691884725
63,31943.61038086811
64,31009.702716447082
65,30098.913011491284
66,29210.932059556137
67,28345.436743125465
68,27502.091562066733
69,26680.550083417766
70,25880.456313880484
71,25101.445996619706
72,24343.147834155425
73,23605.184639297928
74,22887.174416208738
75,22188.731373778748
76,21509.466873600402
77,20848.99031487541
78,20206.909958644927
79,19582.833693757748
80,18976.369747005083
81,18387.12733984996
82,17814.717294166676
83,17258.752589382188
84,16718.84887337884
85,16194.624929476871
86,15685.703101767549
87,15191.709681014152
88,14712.275253279618
89,14247.035013377128
90,13795.629045174275
91,13357.702570713313
92,12932.906170039927
93,12520.895973561841
94,12121.333828686538
95,11733.887442415245
96,11358.23050149826
97,10994.042771685157
98,10641.010177532731
99,10298.824864163886
100,9967.18524230243
101,9645.796017841905
102,9334.36820714152
103,9032.619139178945
104,8740.272445628354
105,8457.058039872723
106,8182.712085902054
107,7916.976957994016
108,7659.601192020344
109,7410.339429171428
110,7168.952352842667
111,6935.206619379486
112,6708.8747833332845
113,6489.735217838077
114,6277.572030677051
115,6072.174976569755
116,5873.339366174037
117,5680.865972262138
118,5494.560933497462
119,5314.235656207431
120,5139.7067145183755
121,4970.795749190711
122,4807.329365466358
123,4649.1390302157615
124,4496.060968648601
125,4347.936060830438
126,4204.609738227047
127,4065.9318804789527
128,3931.7567125906126
129,3801.942702701843
130,3676.3524605932653
131,3554.8526370628088
132,3437.313824296514
133,3323.6104573440557
134,3213.6207167974308
135,3107.2264327601424
136,3004.3129901838515
137,2904.769235639891
138,2808.487385584128
139,2715.3629361654166
140,2625.294574620288
141,2538.1840922894576
142,2453.936299285275
143,2372.4589408332486
144,2293.662615305298
145,2217.4606939573396
146,2143.7692423792096
147,2072.5069436606977
148,2003.5950232736209
149,1936.9571756663577
150,1872.5194925640928
151,1810.2103929651262
152,1749.9605548210088
153,1691.7028483859242
154,1635.3722712186334
155,1580.9058848184281
156,1528.2427528748726
157,1477.3238811096378
158,1428.0921586874445
159,1380.4923011719982
160,1334.4707950018287
161,1289.9758434601113
162,1246.9573141118437
163,1205.366687681171
164,1165.1570083411766
165,1126.282835388086
166,1088.7001962715487
167,1052.3665409524745
168,1017.240697559776
169,983.2828293173313
170,950.4543927124909
171,918.7180968775345
172,888.037864155611
173,858.3787918228688
174,829.7071149387092
175,801.990170296347
176,775.1963614461588
177,749.2951247646224
178,724.256896541998
179,700.0530810622781
180,676.6560196493277
181,654.0389606535466
182,632.1760303538165
183,611.0422047499351
184,590.6132822211924
185,570.8658570272053
186,551.7772936275937
187,533.3257017975609
188,515.4899125169084
189,498.249454610508
190,481.584532118727
191,465.4760023767878
192,449.9053547825252
193,434.8546902324827
194,420.3067012067659
195,406.24465248354585
196,392.65236246457346
197,379.5141850935312
198,366.814992349507
199,354.5401572983308
