,I_t
0,250101.0
1,256430.89346368914
2,262668.6603369748
3,268794.12706811994
4,274786.71723203966
5,280625.5750248376
6,286289.6988570691
7,291758.08392275695
8,297009.87238564517
9,302024.5096001079
10,306781.9045784826
11,311262.59273629234
12,315447.89879853855
13,319320.09764011326
14,322862.5707667021
15,326059.95612355816
16,328898.28895112517
17,331365.13149008335
18,333449.68947374314
19,335142.91353088594
20,336437.58385351126
21,337328.3767562585
22,337811.9120608376
23,337886.7805717258
24,337553.5512598276
25,336814.75812932925
26,335674.86709992756
27,334140.2235824561
28,332218.9817516087
29,329921.01681676105
30,327257.82185369515
31,324242.39098056534
32,320889.09083643695
33,317213.52244750125
34,313232.375643558
35,308963.27821606165
36,304424.64199090004
37,299635.50792735606
38,294615.3922537149
39,289384.13551489165
40,283961.756244037
41,278368.3107844554
42,272623.76058657083
43,266747.848093229
44,260759.98211114891
45,254679.13335220312
46,248523.74062018056
47,242311.62792088726
48,236059.9325892379
49,229785.04435903157
50,223502.55515129084
51,217227.21922658334
52,210972.92323620646
53,204752.66561649286
54,198578.5446992839
55,192461.7548589111
56,186412.5899805851
57,180440.4535154347
58,174553.87438192288
59,168760.52798024606
60,163067.2616038236
61,157480.1235583466
62,152004.39533238235
63,146644.62620262356
64,141404.66970004627
65,136287.72140916128
66,131296.35762001184
67,126432.57440055044
68,121697.82670462984
69,117093.06717732924
70,112618.78436410455
71,108275.04007283274
72,104061.50567785863
73,99977.49719240275
74,96022.00896999269
75,92193.74592686254
76,88491.15420551474
77,84912.45022490204
78,81455.64808505382
79,78118.58531356558
80,74898.94695834426
81,71794.28804552314
82,68802.05443371079
83,65919.602105905
84,63144.21494867429
85,60473.12107477319
86,57903.50775039352
87,55432.534991938424
88,53057.3478997014
89,50775.087797295404
90,48582.90224624982
91,46477.95400500756
92,44457.42900073112
93,42518.543380974006
94,40658.54971049001
95,38874.74237632434
96,37164.462261934554
97,35525.1007484932
98,33954.103098786414
99,32448.971276294476
100,31007.26624916444
101,29626.609825898533
102,28304.686066715203
103,27039.242311718273
104,25828.089864254103
105,24669.104365163257
106,23560.225891054964
107,22499.45880725912
108,21484.871403748515
109,20514.59534007822
110,19586.824923261844
111,18699.816240496755
112,17851.88616676189
113,17041.41126554073
114,16266.82659926571
115,15526.624464535917
116,14819.353065722911
117,14143.61513924623
118,13498.06653956553
119,12881.414796795889
120,12292.417654801578
121,11729.881597656502
122,11192.660371471833
123,10679.653507778103
124,10189.804853905414
125,9722.101115126976
126,9275.570412713276
127,8849.28086148269
128,8442.339169925086
129,8053.889265514025
130,7683.110947407005
131,7329.218568358088
132,6991.459747330213
133,6669.114113992146
134,6361.4920860147395
135,6067.933679840055
136,5787.807355382606
137,5520.5088949320325
138,5265.4603163588645
139,5022.108820577558
140,4789.925773091944
141,4568.405719335822
142,4357.065433424083
143,4155.44299984609
144,3963.096927561609
145,3779.6052958992395
146,3604.5649316069216
147,3437.590616362579
148,3278.314324019454
149,3126.3844868342885
150,2981.465289906437
151,2843.2359930415473
152,2711.3902792439817
153,2585.6356290370722
154,2465.69271980907
155,2351.294849384815
156,2242.1873830282398
157,2138.1272230884624
158,2038.8823005120632
159,1944.231087455856
160,1853.962130247755
161,1767.8736019579947
162,1685.772873858681
163,1607.4761050663108
164,1532.8078496792407
165,1461.600680740009
166,1393.6948303707322
167,1328.9378454484104
168,1267.1842582057482
169,1208.2952711619594
170,1152.138455806852
171,1098.587464480253
172,1047.5217549074168
173,998.8263268694653
174,952.3914705060221
175,908.1125257650485
176,865.8896525323835
177,825.6276109906286
178,787.235551773776
179,750.6268155003278
180,715.7187412835873
181,682.4324838333099
182,650.6928387779672
183,620.4280758515041
184,591.569779602652
185,564.0526972985944
186,537.8145937080783
187,512.796112461916
188,488.9406437012377
189,466.1941977358472
190,444.5052844465909
191,423.8247981768047
192,404.1059078686396
193,385.3039522104126
194,367.37633957108255
195,350.28245250752343
196,333.98355663947603
197,318.442713695903
198,303.6246985449721
199,289.495920028052
