,beta,gamma,sse
0,0.01,0.02,552630158.3824883
1,0.01,0.03,255332233.49296823
2,0.02,0.03,536805962.6212886
3,0.01,0.04,585844385.7712576
4,0.02,0.04,256271515.56448185
5,0.03,0.04,521357681.01491237
6,0.01,0.05,1471627897.1364717
7,0.02,0.05,601624874.2379701
8,0.03,0.05,257616182.405583
9,0.04,0.05,506290556.6601494
10,0.01,0.060000000000000005,2847134652.396984
11,0.02,0.060000000000000005,1500512613.0590782
12,0.03,0.060000000000000005,617833343.0438933
13,0.04,0.060000000000000005,259370642.4601576
14,0.05,0.060000000000000005,491609816.9001782
15,0.01,0.07,4653163472.65387
16,0.02,0.07,2887554808.0664454
17,0.03,0.07,1529842002.0537028
18,0.04,0.07,634473471.2467116
19,0.05,0.07,261539289.0788671
20,0.060000000000000005,0.07,477320672.8477286
21,0.01,0.08,6836275058.403025
22,0.02,0.08,4703702932.984224
23,0.03,0.08,2928431276.8209066
24,0.04,0.08,1559619106.6054153
25,0.05,0.08,651548923.5153637
26,0.060000000000000005,0.08,264126500.1160031
27,0.07,0.08,463428318.91188604
28,0.01,0.09,9348260204.726826
29,0.02,0.09,6895656222.028602
30,0.03,0.09,4754706036.426667
31,0.04,0.09,2969766546.3793697
32,0.05,0.09,1589846955.540557
33,0.060000000000000005,0.09,669063349.7900238
34,0.07,0.09,267136637.52952778
35,0.08,0.09,449937932.32856816
36,0.01,0.09999999999999999,12145656438.825119
37,0.02,0.09999999999999999,9415331174.987858
38,0.03,0.09999999999999999,6955504697.121119
39,0.04,0.09999999999999999,4806174788.012129
40,0.05,0.09999999999999999,3011563091.5428925
41,0.060000000000000005,0.09999999999999999,1620528563.7408154
42,0.07,0.09999999999999999,687020384.9449265
43,0.08,0.09999999999999999,270574046.9843478
44,0.09,0.09999999999999999,436854672.69472194
45,0.01,0.10999999999999999,15189308673.221943
46,0.02,0.10999999999999999,12219379366.751202
47,0.03,0.10999999999999999,9482870028.715153
48,0.04,0.10999999999999999,7015822069.50316
49,0.05,0.10999999999999999,4858111180.593503
50,0.060000000000000005,0.10999999999999999,3053823373.954995
51,0.07,0.10999999999999999,1651666931.859766
52,0.08,0.10999999999999999,705423648.4539951
53,0.09,0.10999999999999999,274443057.4588505
54,0.09999999999999999,0.10999999999999999,424183681.5063121
55,0.01,0.11999999999999998,18443969870.423576
56,0.02,0.11999999999999998,15268749165.447319
57,0.03,0.11999999999999998,12293568146.173313
58,0.04,0.11999999999999998,9550877988.403954
59,0.05,0.11999999999999998,7076609913.54925
60,0.060000000000000005,0.11999999999999998,4910517194.645611
61,0.07,0.11999999999999998,3096549841.8641453
62,0.08,0.11999999999999998,1683265046.0419436
63,0.09,0.11999999999999998,724276744.0593563
64,0.09999999999999999,0.11999999999999998,278747980.8547593
65,0.10999999999999999,0.11999999999999998,411930081.7001304
66,0.01,0.12999999999999998,21877938080.332565
67,0.02,0.12999999999999998,18528287364.79236
68,0.03,0.12999999999999998,15348651301.553413
69,0.04,0.12999999999999998,12368223685.425522
70,0.05,0.12999999999999998,9619356265.814507
71,0.060000000000000005,0.12999999999999998,7137869792.019588
72,0.07,0.12999999999999998,4963394798.067067
73,0.08,0.12999999999999998,3139744929.888503
74,0.09,0.12999999999999998,1715325877.6443524
75,0.09999999999999999,0.12999999999999998,743583259.4427336
76,0.10999999999999999,0.12999999999999998,283493111.61033976
77,0.11999999999999998,0.12999999999999998,400098977.1994704
78,0.01,0.13999999999999999,25462726543.74341
79,0.02,0.13999999999999999,21966377100.871063
80,0.03,0.13999999999999999,18613060491.858467
81,0.04,0.13999999999999999,15429015718.945988
82,0.05,0.13999999999999999,12443346882.797726
83,0.060000000000000005,0.13999999999999999,9688306061.834606
84,0.07,0.13999999999999999,7199603255.8954735
85,0.08,0.13999999999999999,5016745945.983988
86,0.09,0.13999999999999999,3183411058.7827916
87,0.09999999999999999,0.13999999999999999,1747852382.9605868
88,0.10999999999999999,0.13999999999999999,763346765.8998163
89,0.11999999999999998,0.13999999999999999,288682726.3169876
90,0.12999999999999998,0.13999999999999999,388695452.46371955
91,0.01,0.15,29172763856.83651
92,0.02,0.15,25554608754.77142
93,0.03,0.15,22055264262.067852
94,0.04,0.15,18698289656.09021
95,0.05,0.15,15509843045.651587
96,0.060000000000000005,0.15,12518938626.422865
97,0.07,0.15,9757728566.343578
98,0.08,0.15,7261811844.216335
99,0.09,0.15,5070572580.555611
100,0.09999999999999999,0.15,3227550635.2075005
101,0.10999999999999999,0.15,1780847502.9474657
102,0.11999999999999998,0.15,783570818.0175502
103,0.12999999999999998,0.15,294321083.3392527
104,0.13999999999999999,0.15,377724572.0419398
105,0.01,0.16,32985121465.551304
106,0.02,0.16,29267480843.33986
107,0.03,0.16,25646930412.97384
108,0.04,0.16,22144599768.814266
109,0.05,0.16,18783975253.213135
110,0.060000000000000005,0.16,15591133900.225582
111,0.07,0.16,12594999794.165184
112,0.08,0.16,9827624958.077732
113,0.09,0.16,7324497083.918416
114,0.09999999999999999,0.16,5124876630.782015
115,0.10999999999999999,0.16,3272166051.500186
116,0.11999999999999998,0.16,1814314162.954292
117,0.12999999999999998,0.16,804258953.3544323
118,0.13999999999999999,0.16,300412422.438324
119,0.15,0.16,367191380.13041115
120,0.01,0.17,36879266007.59458
121,0.02,0.17,33082128173.609787
122,0.03,0.17,29362627623.536655
123,0.04,0.17,25739691552.935684
124,0.05,0.17,22234383817.86492
125,0.060000000000000005,0.17,18870117670.135612
126,0.07,0.17,15672888891.661167
127,0.08,0.17,12671531253.509937
128,0.09,0.17,9897996404.497396
129,0.09999999999999999,0.17,7387660489.6754055
130,0.10999999999999999,0.17,5179660012.313663
131,0.11999999999999998,0.17,3317259685.449189
132,0.12999999999999998,0.17,1848255272.454744
133,0.13999999999999999,0.17,825414692.1238822
134,0.15,0.17,306960964.39900905
135,0.16,0.17,357100900.1342695
136,0.01,0.18000000000000002,40836834245.93465
137,0.02,0.18000000000000002,36978074784.71722
138,0.03,0.18000000000000002,33179554270.069077
139,0.04,0.18000000000000002,29458204087.36489
140,0.05,0.18000000000000002,25832892201.6801
141,0.060000000000000005,0.18000000000000002,22324616597.778408
142,0.07,0.18000000000000002,18956717284.87565
143,0.08,0.18000000000000002,15755108619.299713
144,0.09,0.18000000000000002,12748533861.45433
145,0.09999999999999999,0.18000000000000002,9968844061.65522
146,0.10999999999999999,0.18000000000000002,7451303563.740374
147,0.11999999999999998,0.18000000000000002,5234924627.262912
148,0.12999999999999998,0.18000000000000002,3362833900.0695786
149,0.13999999999999999,0.18000000000000002,1882673724.78136
150,0.15,0.18000000000000002,847041536.8805962
151,0.16,0.18000000000000002,313970910.66027033
152,0.17,0.18000000000000002,347458134.2331978
153,0.01,0.19000000000000003,44841428543.04007
154,0.02,0.19000000000000003,40937009426.65619
155,0.03,0.19000000000000003,37077291972.198
156,0.04,0.19000000000000003,33277399522.69133
157,0.05,0.19000000000000003,29554210117.74395
158,0.060000000000000005,0.19000000000000003,25926532378.621758
159,0.07,0.19000000000000003,22415298288.85885
160,0.08,0.19000000000000003,19043774466.48838
161,0.09,0.19000000000000003,15837793672.741982
162,0.09999999999999999,0.19000000000000003,12826008464.39973
163,0.10999999999999999,0.19000000000000003,10040169074.066206
164,0.11999999999999998,0.19000000000000003,7515427795.789918
165,0.12999999999999998,0.19000000000000003,5290672364.017668
166,0.13999999999999999,0.19000000000000003,3408891043.381349
167,0.15,0.19000000000000003,1917572396.862762
168,0.16,0.19000000000000003,869142972.210052
169,0.17,0.19000000000000003,321446442.9493006
170,0.18000000000000002,0.19000000000000003,338268062.95129305
171,0.01,0.20000000000000004,48878431011.74129
