,I_t
0,207136.0
1,200485.45019745742
2,194043.86317854232
3,187804.96640391156
4,181762.65663724678
5,175910.99663919013
6,170244.21183448844
7,164756.68696104645
8,159442.96270888307
9,154297.73235631923
10,149315.83841010276
11,144492.26925559112
12,139822.1558225652
13,135300.76827173488
14,130923.5127065189
15,126685.92791423344
16,122583.68214040711
17,118612.56989955103
18,114768.50882535026
19,111047.53656290619
20,107445.80770534642
21,103959.59077682812
22,100585.26526369125
23,97319.31869526916
24,94158.34377563269
25,91099.03556733133
26,88138.18872799823
27,85272.69480050479
28,82499.53955718428
29,79815.80039849077
30,77218.64380631983
31,74705.32285208913
32,72273.17475956006
33,69919.61852227498
34,67642.15257538766
35,65438.352521576904
36,63305.86891065357
37,61242.42507240021
38,59245.815002117946
39,57313.90129829786
40,55444.613151783306
41,53635.94438574404
42,51885.95154574345
43,50192.75203914519
44,48554.5223230756
45,46969.49614013224
46,45435.96280100708
47,43952.265513174556
48,42516.79975477997
49,41128.01169285169
50,39784.39664495183
51,38484.49758337357
52,37226.90368098947
53,36010.248897852936
54,34833.21060765572
55,33694.50826314559
56,32592.902099612485
57,31527.191875556116
58,30496.215649654536
59,29498.848593160732
60,28534.001836862935
61,27600.62135175393
62,26697.686862565122
63,25824.210793332346
64,24979.23724417219
65,24161.840998460113
66,23371.12655961457
67,22606.227216704676
68,21866.30413811268
69,21150.54549249658
70,20458.16559631244
71,19788.404087170347
72,19140.525122312756
73,18513.816601518392
74,17907.58941374989
75,17321.17670687795
76,16753.93317982969
77,16205.234396523556
78,15674.476120967849
79,15161.073672914526
80,14664.46130347439
81,14184.091590114176
82,13719.434850470208
83,13269.978574427403
84,12835.226873926193
85,12414.699949973687
86,12007.933576348858
87,11614.478599504795
88,11233.900454184157
89,10865.778694276774
90,10509.706538460989
91,10165.29043018265
92,9832.149611537894
93,9509.915710637675
94,9198.232342043699
95,8896.754719876848
96,8605.149283210325
97,8323.093333370687
98,8050.27468278064
99,7786.391314987865
100,7531.1510555343975
101,7284.271253330997
102,7045.478472210684
103,6814.508192345105
104,6591.104521216622
105,6375.019913848057
106,6166.014902000801
107,5963.857832060568
108,5768.324611338406
109,5579.198462522717
110,5396.269686025947
111,5219.33542997728
112,5048.199467620209
113,4882.671981881097
114,4722.569356881968
115,4567.713976177641
116,4417.934027504035
117,4273.063313830982
118,4132.941070519222
119,3997.411788387403
120,3866.325042500901
121,3739.535326500066
122,3616.9018922911473
123,3498.288594928639
124,3383.563742523087
125,3272.599951013577
126,3165.274003649134
127,3061.466715028113
128,2961.062799549406
129,2863.9507441338483
130,2770.0226850786667
131,2679.1742889121156
132,2591.3046371196306
133,2506.316114616889
134,2424.114301849096
135,2344.6078703996313
136,2267.70848199489
137,2193.330690795739
138,2121.3918488694853
139,2051.8120147396203
140,1984.5138649138776
141,1919.4226082943019
142,1856.465903376097
143,1795.573778144996
144,1736.678552585777
145,1679.7147637173412
146,1624.6190930724733
147,1571.3302965430285
148,1519.7891365138255
149,1469.938316210992
150,1421.7224161928823
151,1375.0878329140019
152,1329.98271929461
153,1286.3569272308307
154,1244.1619519822045
155,1203.3508783756438
156,1163.8783287667184
157,1125.700412701106
158,1088.7746782208847
159,1053.06006476213
160,1018.5168575920089
161,985.1066437352368
162,952.7922693413838
163,921.5377984460872
164,891.3084730807454
165,862.0706746867374
166,833.7918867916387
167,806.440658906281
168,779.9865716028362
169,754.4002027353989
170,729.6530947657892
171,705.7177231585077
172,682.5674658099479
173,660.1765734781003
174,638.5201411800851
175,617.5740805259051
176,597.3150929578436
177,577.7206438659248
178,558.7689375508135
179,540.4388930064672
180,522.7101204957505
181,505.5628988930964
182,488.9781537691414
183,472.93743619307963
184,457.42290222926977
185,442.41729310539375
186,427.9039160302069
187,413.86662563963404
188,400.2898060506592
189,387.1583535031271
190,374.45765957022314
191,362.1735949190251
192,350.29249360312883
193,338.80113786993587
194,327.6867434657601
195,316.93694542246055
196,306.53978430983904
197,296.48369293855643
198,286.75748349881945
199,277.35033512057083
