,I_t
0,6154.0
1,6468.680096283244
2,6799.449213658847
3,7147.129754651429
4,7512.586138552437
5,7896.726945869411
6,8300.507171992856
7,8724.930595619018
8,9171.05226774512
9,9639.981127345673
10,10132.882750144787
11,10650.982237220884
12,11195.567250517306
13,11767.991202685986
14,12369.676609062177
15,13002.118609957142
16,13666.888671863446
17,14365.638476594944
18,15100.104007831598
19,15872.109845008841
20,16683.57367498324
21,17536.511032421702
22,18433.0402804015
23,19375.387843273867
24,20365.893704436156
25,21407.017182277366
26,22501.342998210857
27,23651.587651386784
28,24860.60611538727
29,26131.39887294998
30,27467.119305542576
31,28871.081455422234
32,30346.768178662816
33,31897.839708518273
34,33528.14264941621
35,35241.71942284126
36,37042.81818737579
37,38935.90325621611
38,40925.66603657835
39,43017.03651654946
40,45215.195326127774
41,47525.58640043494
42,49953.93027436825
43,52506.23803930052
44,55188.82599382489
45,58008.33102198476
46,60971.72673392654
47,64086.34040546378
48,67359.87075464838
49,70800.40659510612
50,74416.44640761164
51,78216.91887315047
52,82211.20441254371
53,86409.1577795927
54,90821.13175663537
55,95458.00200339194
56,100331.193112012
57,105452.70592331562
58,110835.14616134463
59,116491.75444550146
60,122436.43774174812
61,128683.80231655981
62,135249.1882595702
63,142148.70564309944
64,149399.27238901312
65,157018.6539156075
66,165025.50463944362
67,173439.41140924377
68,182280.9389511013
69,191571.6774063236
70,201334.29204520243
71,211592.57524186568
72,222371.50079708165
73,233697.2806974306
74,245597.42440059618
75,258100.8007376235
76,271237.7025237981
77,285039.9139702764
78,299540.78098869015
79,314775.28448059753
80,330780.11670280143
81,347593.76079812524
82,365256.57357915974
83,383810.87164967746
84,403301.0209447677
85,423773.5297661695
86,445277.14538366196
87,467862.95426658884
88,491584.4860015143
89,516497.8209424849
90,542661.7016292517
91,570137.6479959174
92,598990.0763776291
93,629286.4223059472
94,661097.2670641574
95,694496.4679518483
96,729561.2921832831
97,766372.554316209
98,805014.7570764843
99,845576.2354089671
100,888149.3035462023
101,932830.4048432169
102,979720.2640788826
103,1028924.0418714376
104,1080551.4907975453
105,1134717.1127403153
106,1191540.3169216483
107,1251145.5779977154
108,1313662.5935129593
109,1379226.439917353
110,1447977.7262534092
111,1520062.7445132781
112,1595633.615551914
113,1674848.4293194695
114,1757871.3780446192
115,1844872.8808602933
116,1936029.6982142865
117,2031525.034249501
118,2131548.625172372
119,2236296.8114537005
120,2345972.591524227
121,2460785.654438571
122,2580952.388786649
123,2706695.8649326535
124,2838245.787459694
125,2975838.414495218
126,3119716.4403906967
127,3270128.838031466
128,3427330.6568623567
129,3591582.7725354666
130,3763151.583922465
131,3942308.653089912
132,4129330.2837177385
133,4324497.033354197
134,4528093.154851993
135,4740405.9623271
136,4961725.117031841
137,5192341.828645457
138,5432547.967667522
139,5682635.084861168
140,5942893.334043778
141,6213610.294971887
142,6495069.693623903
143,6787550.017857828
144,7091323.027219696
145,7406652.156609207
146,7733790.814577863
147,8072980.578245899
148,8424449.28817929
149,8788409.048066098
150,9165054.135668429
151,9554558.833294243
152,9957075.187920384
153,10372730.713087486
154,10801626.046757417
155,11243832.581447296
156,11699390.08509848
157,12168304.333265932
158,12650544.775279652
159,13146042.258986665
160,13654686.840476342
161,14176325.706767045
162,14710761.240728848
163,15257749.258475311
164,15816997.450017218
165,16388164.054075487
166,16970856.7975466
167,17564632.129155755
168,18168994.77528395
169,18783397.643789653
170,19407242.09885197
171,20039878.626443762
172,20680607.906020444
173,21328682.29942249
174,21983307.762893774
175,22643646.18259037
176,23308818.12808878
177,23977906.012308422
178,24649957.64006429
179,25323990.12129577
180,25998994.11901752
181,26673938.39635158
182,27347774.621767193
183,28019442.387011256
184,28687874.38827984
185,29352001.718066726
186,30010759.212914728
187,30663090.80105264
188,31307954.79366182
189,31944329.064291514
190,32571216.062712524
191,33187647.61221935
192,33792689.442990296
193,34385445.4184997
194,34965061.41703272
195,35530728.83595286
196,36081687.692376785
197,36617229.30017433
198,37136698.509589635
199,37639495.50212812
