,beta,gamma,sse
0,0.02,0.01,1879211.5560597456
1,0.03,0.01,1826475.7871368253
2,0.03,0.02,1879211.736416997
3,0.04,0.01,1772342.5715180396
4,0.04,0.02,1826475.979291177
5,0.04,0.03,1879211.9231556214
6,0.05,0.01,1716817.292609997
7,0.05,0.02,1772342.7760695068
8,0.05,0.03,1826476.1781121222
9,0.05,0.04,1879212.1162756141
10,0.060000000000000005,0.01,1659911.8159551583
11,0.060000000000000005,0.02,1716817.5101611647
12,0.060000000000000005,0.03,1772342.987581058
13,0.060000000000000005,0.04,1826476.3835996569
14,0.060000000000000005,0.05,1879212.3157769712
15,0.07,0.01,1601645.3960062903
16,0.07,0.02,1659912.047105102
17,0.07,0.03,1716817.7349736146
18,0.07,0.04,1772343.2060526893
19,0.07,0.05,1826476.5957537768
20,0.07,0.060000000000000005,1879212.52165969
21,0.08,0.01,1542045.6855719863
22,0.08,0.02,1601645.6413431165
23,0.08,0.03,1659912.2858244998
24,0.08,0.04,1716817.9670473428
25,0.08,0.05,1772343.4314843966
26,0.08,0.060000000000000005,1826476.8145744773
27,0.08,0.07,1879212.7339237637
28,0.09,0.01,1481149.8588199038
29,0.09,0.02,1542045.9456637502
30,0.09,0.03,1601645.894563607
31,0.09,0.04,1659912.5321133463
32,0.09,0.05,1716818.2063823438
33,0.09,0.060000000000000005,1772343.663876174
34,0.09,0.07,1826477.0400617546
35,0.09,0.08,1879212.95256919
36,0.09999999999999999,0.01,1419005.8598510306
37,0.09999999999999999,0.02,1481150.134203626
38,0.09999999999999999,0.03,1542046.2139582597
39,0.09999999999999999,0.04,1601646.1556677562
40,0.09999999999999999,0.05,1659912.785971637
41,0.09999999999999999,0.060000000000000005,1716818.4529786124
42,0.09999999999999999,0.07,1772343.9032280175
43,0.09999999999999999,0.08,1826477.272215603
44,0.09999999999999999,0.09,1879213.1775959632
45,0.10999999999999999,0.01,1355673.7901004385
46,0.10999999999999999,0.02,1419006.1510194968
47,0.10999999999999999,0.03,1481150.4181126095
48,0.10999999999999999,0.04,1542046.4904555087
49,0.10999999999999999,0.05,1601646.4246555585
50,0.10999999999999999,0.060000000000000005,1659913.0473993649
51,0.10999999999999999,0.07,1716818.7068361433
52,0.10999999999999999,0.08,1772344.149539922
53,0.10999999999999999,0.09,1826477.511036018
54,0.10999999999999999,0.09999999999999999,1879213.4090040796
55,0.11999999999999998,0.01,1291227.449189379
56,0.11999999999999998,0.02,1355674.0974863977
