,I_t
0,166542.0
1,169217.7467635979
2,171930.74014094664
3,174681.30262619836
4,177469.75243579497
5,180296.40318839363
6,183161.5635756524
7,186065.5370238022
8,189008.62134593938
9,191991.10838498265
10,195013.28364724785
11,198075.4259266039
12,201177.80691918498
13,204320.69082864473
14,207504.3339619516
15,210728.98431573648
16,213994.88115321822
17,217302.25457174666
18,220651.32506101808
19,224042.30305203394
20,227475.3884568904
21,230950.77019950337
22,234468.62573739272
23,238029.1205746671
24,241632.4077663719
25,245278.62741438276
26,248967.90615504794
27,252700.35663880655
28,256476.0770020308
29,260295.15033136538
30,264157.64412086125
31,268063.6097222262
32,272013.0817885409
33,276006.0777118153
34,280042.5970547894
35,284122.6209774079
36,288246.11165842944
37,292413.01171266
38,296623.2436043295
39,300876.7090571615
40,305173.28846171877
41,309512.8402806356
42,313895.2004523844
43,318320.1817942527
44,322787.57340524165
45,327297.1400696298
46,331848.6216619793
47,336441.73255439405
48,341076.16102687485
49,345751.56868164794
50,350467.5898623777
51,355223.83107920724
52,360019.8704406037
53,364855.257093016
54,369729.51066938665
55,374642.1207475891
56,379592.54631989234
57,384580.21527458564
58,389604.52389092295
59,394664.8363485751
60,399760.484252804
61,404890.76617659826
62,410054.9472210309
63,415252.25859512493
64,420481.89721652924
65,425743.0253343264
66,431034.77017531
67,436356.2236150821
68,441706.4418753319
69,447084.4452486673
70,452489.2178523733
71,457919.70741247816
72,463374.82507950446
73,468853.44527728186
74,474354.4055861891
75,479876.5066621856
76,485418.5121929763
77,490979.14889263926
78,496557.10653602134
79,502151.03803418466
80,507759.5595521558
81,513381.2506701967
82,519014.6545897798
83,524658.2783854053
84,530310.5933033561
85,535970.0351084308
86,541635.0044796435
87,547303.8674558178
88,552974.9559319366
89,558646.5682070449
90,564316.9695844228
91,569984.3930246754
92,575647.0398522974
93,581303.0805161871
94,586950.6554044945
95,592587.8757140881
96,598212.8243748324
97,603823.5570287592
98,609418.1030641121
99,614994.4667041348
100,620550.6281503537
101,626084.5447799973
102,631594.1523970686
103,637077.3665364672
104,642532.0838204337
105,647956.1833664617
106,653347.5282456949
107,658703.9669906993
108,664023.3351513658
109,669303.4568975746
110,674542.1466671143
111,679737.2108572255
112,684886.449558002
113,689987.6583257595
114,695038.6299943512
115,700037.1565222852
116,704981.0308733769
117,709868.0489285488
118,714696.0114262745
119,719462.72592905
120,724166.0088131692
121,728803.6872789747
122,733373.6013786591
123,737873.6060585983
124,742301.5732131102
125,746655.3937464575
126,750932.9796398332
127,755132.2660200075
128,759251.2132262536
129,763287.8088721206
130,767240.0698985795
131,771106.0446150367
132,774883.8147246812
133,778571.4973306214
134,782167.246919256
135,785669.2573173324
136,789075.763619153
137,792385.044080417
138,795595.4219752165
139,798705.2674127442
140,801712.9991103286
141,804617.0861194658
142,807416.049501595
143,810108.4639504412
144,812692.9593578386
145,815168.2223200477
146,817532.9975816867
147,819786.0894145131
148,821926.3629284145
149,823952.745312102
150,825864.227001137
151,827659.8627710686
152,829338.7727536134
153,830900.1433739659
154,832343.228207495
155,833667.3487542489
156,834871.8951298682
157,835956.3266716802
158,836920.1724589351
159,837763.0317463218
160,838484.5743100944
161,839084.5407063207
162,839562.7424409608
163,839919.0620516657
164,840153.4531013784
165,840265.9400840068
166,840256.618242624
167,840125.6533008342
168,839873.2811081258
169,839499.8072002089
170,839005.6062755109
171,838391.1215891714
172,837656.8642660438
173,836803.4125343686
174,835831.4108819404
175,834741.5691367326
176,833534.6614740901
177,832211.5253527289
178,830773.0603819112
179,829220.2271222802
180,827554.0458229514
181,825775.5950975586
182,823886.010542046
183,821886.4832970847
184,819778.258558065
185,817562.6340356901
186,815240.9583702474
187,812814.6295026909
188,810285.0930057045
189,807653.8403779512
190,804922.4073047352
191,802092.3718883188
192,799165.3528511442
193,796143.007715205
194,793027.0309608062
195,789819.1521679293
196,786521.1341433967
197,783134.7710369942
198,779661.8864496702
199,776104.3315368856
