,I_t
0,262140.0
1,262135.81260478764
2,262069.02324637162
3,261939.75103677157
4,261748.17444643387
5,261494.53085802594
6,261179.11600290897
7,260802.28328246326
8,260364.44297682564
9,259866.06134396637
10,259307.65961238855
11,258689.81287106674
12,258013.14886055962
13,257278.34666952616
14,256486.1353411484
15,255637.29239421504
16,254732.64226384572
17,253773.05466703762
18,252759.44289839268
19,251692.76206153323
20,250574.00724183884
21,249404.21162623458
22,248184.44457583321
23,246915.80965727978
24,245599.44263866765
25,244236.5094558904
26,242828.20415526585
27,241375.74681821573
28,239880.38147371027
29,238343.37400409035
30,236766.01004976346
31,235149.59291813365
32,233495.44150197168
33,231804.88821226155
34,230079.27693037354
35,228319.96098421476
36,226528.3011527964
37,224705.66370343426
38,222853.41846556752
39,220972.9369449406
40,219065.59048164694
41,217132.74845528242
42,215175.77654020122
43,213196.03501361
44,211194.87711897833
45,209173.64748698584
46,207133.68061597037
47,205076.29941358833
48,203002.8138011482
49,200914.51938183428
50,198812.69617379736
51,196698.60740885718
52,194573.4983973351
53,192438.59545931875
54,190295.10492245032
55,188144.2121861308
56,185987.08085184149
57,183824.85191910347
58,181658.64304642534
59,179489.54787642878
60,177318.63542419276
61,175146.949527717
62,172975.50835927823
63,170805.30399633432
64,168637.30205052425
65,166472.4413532158
66,164311.63369596613
67,162155.76362418386
68,160005.68828221568
69,157862.2373080225
70,155726.2127755635
71,153598.3891829668
72,151479.51348453588
73,149370.30516461798
74,147271.45635134738
75,145183.63196826828
76,143107.4699218426
77,141043.5813228545
78,138992.5507397352
79,136954.9364818505
80,134931.2709108169
81,132922.06077793913
82,130927.78758589647
83,128948.90797284032
84,126985.8541171061
85,125039.03416078656
86,123108.83265045907
87,121195.61099340885
88,119299.70792774083
89,117421.44000482575
90,115561.10208258007
91,113718.96782813549
92,111895.29022850948
93,110090.30210794593
94,108304.21665065252
95,106537.2279277188
96,104789.51142705712
97,103061.22458526572
98,101352.50732037048
99,99663.4825644583
100,97994.25679527082
101,96344.920565882
102,94715.54903163714
103,93106.20247358338
104,91516.92681767352
105,89947.75414907502
106,88398.70322096522
107,86869.77995724078
108,85360.97794861557
109,83872.27894162576
110,82403.65332010313
111,80955.06057871951
112,79526.44978824424
113,78117.7600521949
114,76728.92095459785
115,75359.85299860952
116,74010.46803578292
117,72680.66968579493
118,71370.35374648012
119,70079.40859404493
120,68807.71557336304
121,67555.1493782778
122,66321.57842186175
123,65106.865196605206
124,63910.8666245272
125,62733.434397221514
126,61574.41530586881
127,60433.65156126304
128,59310.981103915845
129,58206.237904317524
130,57119.25225344637
131,56049.851043630675
132,54997.85803987894
133,53963.09414180418
134,52945.37763627741
135,51944.524440954025
136,50960.34833882413
137,49992.661203944706
138,49041.27321851738
139,48105.99308148073
140,47186.62820879064
141,46282.984925565775
142,45394.868650278804
143,44522.08407117614
144,43664.435315111456
145,42821.72610897936
146,41993.75993393697
147,41180.340172601434
148,40381.270249411835
149,39596.35376434353
150,38825.39462016247
151,38068.19714340611
152,37324.566199276225
153,36594.30730062755
154,35877.22671123431
155,35173.131543514675
156,34481.8298508911
157,33803.130714961895
158,33136.844327656974
159,32482.78206854786
160,31840.75657747925
161,31210.581822686374
162,30592.07316455928
163,29985.04741521205
164,29389.322894011664
165,28804.719479217772
166,28231.058655881498
167,27668.163560147685
168,27115.859020101776
169,26573.97159329889
170,26042.32960110922
171,25520.763160010403
172,25009.104209953955
173,24507.186539929466
174,24014.845810846702
175,23531.919575852397
176,23058.24729819503
177,22593.67036674757
178,22138.032109294785
179,21691.17780368842
180,21252.95468697033
181,20823.211962560366
182,20401.800805602765
183,19988.574366561592
184,19583.38777315282
185,19186.098130697563
186,18796.564520978154
187,18414.6479996758
188,18040.211592465766
189,17673.120289843373
190,17313.241040751276
191,16960.44274507602
192,16614.596245079225
193,16275.574315826314
194,15943.251654673259
195,15617.50486986947
196,15298.212468332673
197,14985.254842649376
198,14678.514257352366
199,14377.874834524597
