,I_t
0,9492.0
1,9878.161354547687
2,10280.029788881035
3,10698.243933553757
4,11133.468364001974
5,11586.394652828232
6,12057.742464619354
7,12548.260695005294
8,13058.728655733685
9,13589.957307604856
10,14142.7905431849
11,14718.106521289867
12,15316.819055312675
13,15939.879057545606
14,16588.276041735797
15,17263.039686198743
16,17965.241459905767
17,18695.996314055687
18,19456.464441738808
19,20247.853108402753
20,21071.418555934855
21,21928.467983284954
22,22820.361606665345
23,23748.51480248193
24,24714.40033627188
25,25719.550681049022
26,26765.5604285882
27,27854.088797314995
28,28986.862240606624
29,30165.6771594545
30,31392.402723588446
31,32668.983805317355
32,33997.444030501036
33,35379.888951233566
34,36818.50934498944
35,38315.58464516057
36,39873.48650809481
37,41494.682521935094
38,43181.74006275307
39,44937.33030367168
40,46764.23238287842
41,48665.33773664452
42,50643.65460368518
43,52702.312707422745
44,54844.568122947974
45,57073.808335714515
46,59393.557499248614
47,61807.481899409635
48,64319.395632997504
49,66933.26650877052
50,69653.22217921099
51,72483.55651165721
52,75428.73620770767
53,78493.40768009772
54,81682.40419654931
55,85000.75330040135
56,88453.68451814102
57,92046.63736427488
58,95785.26965430281
59,99675.46613688665
60,103723.34745663915
61,107935.27945929662
62,112317.88285137984
63,116878.04322679184
64,121622.92147314764
65,126559.96457097786
66,131696.91679929642
67,137041.83136136897
68,142603.08244486374
69,148389.37773090802
70,154409.77136691022
71,160673.67741833747
72,167190.88381496086
73,173971.56680739205
74,181026.30595003374
75,188366.09962685115
76,196002.38113663762
77,203947.0353546935
78,212212.41598806012
79,220811.3634416445
80,229757.22331273512
81,239063.8655315369
82,248745.70416544215
83,258817.71790479842
84,269295.47124792717
85,280195.136403085
86,291533.5159249349
87,303328.0661028997
88,315596.9211185018
89,328358.9179884348
90,341633.6223096686
91,355441.35482233524
92,369803.218805482
93,384741.12831999053
94,400277.8373120411
95,416436.9695894321
96,433243.04968183686
97,450721.53459467523
98,468898.846464688
99,487802.4061234995
100,507460.6675734345
101,527903.1533775908
102,549160.4909636457
103,571264.4498380659
104,594247.979704283
105,618145.2494749596
106,642991.6871646814
107,668824.0206452472
108,695680.3192411592
109,723600.0361379148
110,752624.0515702354
111,782794.7167514148
112,814155.8984984815
113,846753.0245008337
114,880633.1291723687
115,915844.9000188636
116,952438.7244434393
117,990466.7369033035
118,1029982.866320602
119,1071042.8836390523
120,1113704.4494060718
121,1158027.1612472874
122,1204072.6010866053
123,1251904.381950375
124,1301588.1941785815
125,1353191.850849403
126,1406785.3322058434
127,1462440.8288544822
128,1520232.7834866322
129,1580237.930851362
130,1642535.3356878997
131,1707206.4283018955
132,1774335.0374458751
133,1844007.4201389975
134,1916312.2880349378
135,1991340.829919424
136,2069186.7298906788
137,2149946.180746865
138,2233717.8920746567
139,2320603.0925023975
140,2410705.5255500795
141,2504131.438476736
142,2600989.563493982
143,2701391.0906825736
144,2805449.631917232
145,2913281.175073864
146,3025004.0277630603
147,3140738.7498046933
148,3260608.0736309765
149,3384736.811779958
150,3513251.7506185602
151,3646281.5294145206
152,3783956.503860507
153,3926408.593141905
154,4073771.10963304
155,4226178.570305586
156,4383766.488938441
157,4546671.148231263
158,4715029.350944992
159,4888978.149222942
160,5068654.55128644
161,5254195.204750335
162,5445736.05586707
163,5643411.984084355
164,5847356.411391617
165,6057700.88603546
166,6274574.6403049175
167,6498104.122224381
168,6728412.501146177
169,6965619.147406561
170,7209839.086398708
171,7461182.42762436
172,7719753.7695121635
173,7985651.581035097
174,8258967.561421316
175,8539785.979531337
176,8828182.994768621
177,9124225.96169875
178,9427972.720872547
179,9739470.878678434
180,10058757.07938606
181,10385856.27288376
182,10720780.98195279
183,11063530.573257538
184,11414090.536558421
185,11772431.776967864
186,12138509.925364345
187,12512264.672349328
188,12893619.131370924
189,13282479.236840403
190,13678733.1832269
191,14082250.911225837
192,14492883.647151561
193,14910463.501699008
194,15334803.134147396
195,15765695.487936515
196,16202913.603329081
197,16646210.512577858
198,17095319.22264186
199,17549952.790040907
