,beta,gamma,sse
0,0.02,0.01,1587540609.3624775
1,0.03,0.01,3995069439.728058
2,0.03,0.02,1562891880.8049555
3,0.04,0.01,7746167929.409256
4,0.04,0.02,3952349206.7425866
5,0.04,0.03,1538180044.0172446
6,0.05,0.01,13002071448.742237
7,0.05,0.02,7682744977.356977
8,0.05,0.03,3909393868.117428
9,0.05,0.04,1513412848.558021
10,0.060000000000000005,0.01,19940507434.645187
11,0.060000000000000005,0.02,12914980252.207367
12,0.060000000000000005,0.03,7618887571.063151
13,0.060000000000000005,0.04,3866212555.5419507
14,0.060000000000000005,0.05,1488598104.2273664
15,0.07,0.01,28757306848.407867
16,0.07,0.02,19826406498.89496
17,0.07,0.03,12827224373.954332
18,0.07,0.04,7554606434.800423
19,0.07,0.05,3822814472.364467
20,0.07,0.060000000000000005,1463743679.9706807
21,0.08,0.01,39668169805.51088
22,0.08,0.02,28612431819.583893
23,0.08,0.03,19711375822.92343
24,0.08,0.04,12738816372.247087
25,0.08,0.05,7489912377.637884
26,0.08,0.060000000000000005,3779208892.3055043
27,0.08,0.07,1438857502.7762237
28,0.09,0.01,52910599823.86951
29,0.09,0.02,39488280683.98216
30,0.09,0.03,28466322735.291115
31,0.09,0.04,19595430075.894524
32,0.09,0.05,12649768905.240795
33,0.09,0.060000000000000005,7424816291.931717
34,0.09,0.07,3735405158.163782
35,0.09,0.08,1413947556.5667214
36,0.09999999999999999,0.01,68746022444.8015
37,0.09999999999999999,0.02,52690921529.598526
38,0.09999999999999999,0.03,39306808981.17059
39,0.09999999999999999,0.04,28318996693.220734
40,0.09999999999999999,0.05,19478584044.183594
41,0.09999999999999999,0.060000000000000005,12560094729.212624
42,0.09999999999999999,0.07,7359329151.807489
43,0.09999999999999999,0.08,3691412680.5150414
44,0.09999999999999999,0.09,1389021881.0850544
45,0.10999999999999999,0.01,87462105399.75772
46,0.10999999999999999,0.02,68481177886.945724
47,0.10999999999999999,0.03,52469262375.19507
48,0.10999999999999999,0.04,39123774587.63129
