,beta,gamma,sse
0,0.01,0.02,236177.69792352227
1,0.01,0.03,568242.1678323444
2,0.02,0.03,236509.33820924093
3,0.01,0.04,1246767.0868061148
4,0.02,0.04,569421.0368270637
5,0.03,0.04,236843.27267618483
6,0.01,0.05,2230360.2381044566
7,0.02,0.05,1248693.0541552822
8,0.03,0.05,570603.0508722642
9,0.04,0.05,237179.50891125805
10,0.01,0.060000000000000005,3481654.6532817213
11,0.02,0.060000000000000005,2232942.8927478148
12,0.03,0.060000000000000005,1250622.8749406498
13,0.04,0.060000000000000005,571788.216385502
14,0.05,0.060000000000000005,237518.05450688893
15,0.01,0.07,4966936.756833803
16,0.02,0.07,3484812.4054277306
17,0.03,0.07,2235529.9848531736
18,0.04,0.07,1252556.5545548855
19,0.05,0.07,572976.5397886648
20,0.060000000000000005,0.07,237858.91706100726
21,0.01,0.08,6655808.415345175
22,0.02,0.08,4970596.021889547
23,0.03,0.08,3487975.070684189
24,0.04,0.08,2238121.5189159755
25,0.05,0.08,1254494.0983939967
26,0.060000000000000005,0.08,574168.0275079603
27,0.07,0.08,238202.10417702823
28,0.01,0.09,8520879.801747859
29,0.02,0.09,6659902.872323899
30,0.03,0.09,4974260.581415637
31,0.04,0.09,3491142.652762129
32,0.05,0.09,2240717.499434167
33,0.060000000000000005,0.09,1256435.511857297
34,0.07,0.09,575362.6859739069
35,0.08,0.09,238547.6234638236
36,0.01,0.09999999999999999,10537490.267739467
37,0.02,0.09999999999999999,8525349.719360987
38,0.03,0.09999999999999999,6664002.923258057
39,0.04,0.09999999999999999,4977930.438438266
40,0.05,0.09999999999999999,3494315.1553743375
41,0.060000000000000005,0.09999999999999999,2243317.9309081603
42,0.07,0.09999999999999999,1258380.8003474218
43,0.08,0.09999999999999999,576560.5216212899
44,0.09,0.09999999999999999,238895.48253570692
45,0.01,0.10999999999999999,12683454.673921106
46,0.02,0.10999999999999999,10542281.892001856
47,0.03,0.10999999999999999,8529825.459472235
48,0.04,0.10999999999999999,6668108.570576954
49,0.05,0.10999999999999999,4981605.595984824
50,0.060000000000000005,0.10999999999999999,3497492.5822353987
51,0.07,0.10999999999999999,2245922.817840859
52,0.08,0.10999999999999999,1260329.9692702922
53,0.09,0.10999999999999999,577761.5408891746
54,0.09999999999999999,0.10999999999999999,239245.68901241248
55,0.01,0.11999999999999998,14938832.86019408
56,0.02,0.11999999999999998,12688519.671662813
57,0.03,0.11999999999999998,10547079.505985115
58,0.04,0.11999999999999998,8534307.023991631
59,0.05,0.11999999999999998,6672219.816710605
60,0.060000000000000005,0.11999999999999998,4985286.057083887
61,0.07,0.11999999999999998,3500674.937061649
62,0.08,0.11999999999999998,2248532.1647375897
63,0.09,0.11999999999999998,1262283.0240351006
64,0.09999999999999999,0.11999999999999998,578965.7502208677
65,0.10999999999999999,0.11999999999999998,239598.25051906687
66,0.01,0.12999999999999998,17285720.150564108
67,0.02,0.12999999999999998,14944127.813384816
68,0.03,0.12999999999999998,12693590.77349245
69,0.04,0.12999999999999998,10551883.111148454
70,0.05,0.12999999999999998,8538794.414829541
71,0.060000000000000005,0.12999999999999998,6676336.664089736
72,0.07,0.12999999999999998,4988971.824765217
73,0.08,0.12999999999999998,3503862.223571203
74,0.09,0.12999999999999998,2251145.9761061543
75,0.09999999999999999,0.12999999999999998,1264239.9700543007
76,0.10999999999999999,0.12999999999999998,580173.1560639024
77,0.11999999999999998,0.12999999999999998,239953.1746861827
78,0.01,0.13999999999999999,19708056.97870914
79,0.02,0.13999999999999999,17291206.096822135
80,0.03,0.13999999999999999,14949428.939615197
81,0.04,0.13999999999999999,12698667.980478771
82,0.05,0.13999999999999999,10556692.70895108
83,0.060000000000000005,0.13999999999999999,8543287.633896567
84,0.07,0.13999999999999999,6680459.115145769
85,0.08,0.13999999999999999,4992662.9020597525
86,0.09,0.13999999999999999,3507054.4454839015
87,0.09999999999999999,0.13999999999999999,2253764.25645677
88,0.10999999999999999,0.13999999999999999,1266200.8127435953
89,0.11999999999999998,0.13999999999999999,581383.7648700351
90,0.12999999999999998,0.13999999999999999,240310.4691496197
91,0.01,0.15,22191455.895258047
92,0.02,0.15,19713698.99378918
93,0.03,0.15,17296698.246191394
