,date,difhat
0,2020-01-22,-0.11168783422462215
1,2020-01-23,0.02839852509918099
2,2020-01-24,0.1155089842843811
3,2020-01-25,0.1635820103144966
4,2020-01-26,0.18417326069370737
5,2020-01-27,0.18664915154749306
6,2020-01-28,0.17838042572327062
7,2020-01-29,0.16493572089103314
8,2020-01-30,0.1502751376439868
9,2020-01-31,0.1369438075991904
10,2020-02-01,0.12626546149819123
11,2020-02-02,0.1185359973076666
12,2020-02-03,0.11321704832005729
13,2020-02-04,0.1091295512542108
14,2020-02-05,0.10464731435601492
15,2020-02-06,0.09789058549937224
16,2020-02-07,0.07294165234123307
17,2020-02-08,0.052060875720674714
18,2020-02-09,0.02185256345441778
19,2020-02-10,-0.030842350086058668
20,2020-02-11,-0.09229244615260401
21,2020-02-12,-0.17835878248619647
22,2020-02-13,-0.21426837900770607
23,2020-02-14,-0.24096774193630352
24,2020-02-15,-0.25528061482542097
25,2020-02-16,-0.24453230862657788
26,2020-02-17,-0.20957730812084677
27,2020-02-18,-0.15967539690619634
28,2020-02-19,-0.09559915057166751
29,2020-02-20,-0.016648801698914348
30,2020-02-21,0.07642329861488194
31,2020-02-22,0.1750642127622496
32,2020-02-23,0.27615936899679316
33,2020-02-24,0.3719071695836291
34,2020-02-25,0.45235109718022193
35,2020-02-26,0.5137293963006653
36,2020-02-27,0.5472555364565078
37,2020-02-28,0.5592051774718177
38,2020-02-29,0.5441237738920313
39,2020-03-01,0.4974739609684221
40,2020-03-02,0.4324461522918939
41,2020-03-03,0.3622297502287569
42,2020-03-04,0.3289857417343572
43,2020-03-05,0.2677975528373951
44,2020-03-06,0.22526544645642332
45,2020-03-07,0.21729295176532543
46,2020-03-08,0.22106684194634751
47,2020-03-09,0.250757407220996
48,2020-03-10,0.27195065224078696
49,2020-03-11,0.2693346142187334
50,2020-03-12,0.2549873596934546
51,2020-03-13,0.24681565375753844
52,2020-03-14,0.24361715036992526
53,2020-03-15,0.2316988573169977
54,2020-03-16,0.22323389624911577
55,2020-03-17,0.22150065729673857
56,2020-03-18,0.21277682273305232
57,2020-03-19,0.1935706340384779
58,2020-03-20,0.16663161088134312
59,2020-03-21,0.14262716149305238
60,2020-03-22,0.12199211244858943
61,2020-03-23,0.10683688947351513
62,2020-03-24,0.09835372636295947
63,2020-03-25,0.0932773789061721
64,2020-03-26,0.08544544443349911
65,2020-03-27,0.07731216503211642
66,2020-03-28,0.06354231974943234
67,2020-03-29,0.056943068055608705
68,2020-03-30,0.052133683891369506
69,2020-03-31,0.046658913944945785
70,2020-04-01,0.04009606633646965
71,2020-04-02,0.031329760339878006
72,2020-04-03,0.021133582768804803
73,2020-04-04,0.010867630700815579
74,2020-04-05,0.00316614420063772
75,2020-04-06,-0.002842552330882359
76,2020-04-07,-0.006734755789283705
77,2020-04-08,-0.007572049752275748
78,2020-04-09,-0.009590454039874897
79,2020-04-10,-0.015551623015524676
80,2020-04-11,-0.021939528769414334
81,2020-04-12,-0.027194862979160184
82,2020-04-13,-0.029728991809181943
83,2020-04-14,-0.03027808676317308
84,2020-04-15,-0.03034988370927503
85,2020-04-16,-0.02998584285580023
86,2020-04-17,-0.030696733744669042
87,2020-04-18,-0.033806249368099575
88,2020-04-19,-0.03737486095674555
89,2020-04-20,-0.040096066336469616
90,2020-04-21,-0.039154616240400064
91,2020-04-22,-0.03687834968158959
92,2020-04-23,-0.0381636161392742
93,2020-04-24,-0.04157649914060041
94,2020-04-25,-0.046199817979730315
95,2020-04-26,-0.05016179593504767
96,2020-04-27,-0.052824350288378605
97,2020-04-28,-0.05396602285385929
98,2020-04-29,-0.0537566993631113
99,2020-04-30,-0.05352411770672463
100,2020-05-01,-0.05217312165049595
101,2020-05-02,-0.049955506118078676
102,2020-05-03,-0.04908281929433217
103,2020-05-04,-0.05021943573684791
104,2020-05-05,-0.05037617554876064
105,2020-05-06,-0.04885630498550336
106,2020-05-07,-0.04591263019532245
107,2020-05-08,-0.042545252300680604
108,2020-05-09,-0.0395661846497452
109,2020-05-10,-0.038373950854615244
110,2020-05-11,-0.03628880574387907
111,2020-05-12,-0.03506421276177357
112,2020-05-13,-0.03539387197908687
113,2020-05-14,-0.03594498938226399
114,2020-05-15,-0.035944989382263995
115,2020-05-16,-0.03648801698869724
116,2020-05-17,-0.0382263120640394
117,2020-05-18,-0.038516533522226254
118,2020-05-19,-0.035768025078491555
119,2020-05-20,-0.03189503488735691
120,2020-05-21,-0.02606734755798124
121,2020-05-22,-0.025522297502362037
122,2020-05-23,-0.02815451511790342
123,2020-05-24,-0.030155728587421812
124,2020-05-25,-0.03175042977056001
125,2020-05-26,-0.032179188997985886
126,2020-05-27,-0.0315906562848683
127,2020-05-28,-0.03142077055324673
128,2020-05-29,-0.029843260188189273
129,2020-05-30,-0.029526746890584793
130,2020-05-31,-0.02574982303578379
131,2020-06-01,-0.024404894327113028
132,2020-06-02,-0.023564566690342036
133,2020-06-03,-0.027940135504190472
134,2020-06-04,-0.030217413287593906
135,2020-06-05,-0.029770452017494304
136,2020-06-06,-0.029783597937203123
137,2020-06-07,-0.0289746182628147
138,2020-06-08,-0.025305895439463166
139,2020-06-09,-0.019546971382410516
140,2020-06-10,-0.013788047325357869
141,2020-06-11,-0.009004955000536257
142,2020-06-12,-0.00488219233493419
143,2020-06-13,-0.0009657194863011854
144,2020-06-14,0.001087066437459467
145,2020-06-15,0.0036616442512006587
146,2020-06-16,0.009316412175175797
147,2020-06-17,0.01590352917388362
148,2020-06-18,0.02226210941457671
149,2020-06-19,0.026317120032448734
