,date,r0hat
0,2020-01-22,-1.063954272116715
1,2020-01-23,1.5941698157950073
2,2020-01-24,3.810292220065982
3,2020-01-25,5.5762572304582605
4,2020-01-26,6.89738830652898
5,2020-01-27,7.790919135019217
6,2020-01-28,8.284424687242835
7,2020-01-29,8.414252276475327
8,2020-01-30,8.223952615342684
9,2020-01-31,7.7627108732102235
10,2020-02-01,7.083777733571444
11,2020-02-02,6.2429004514368875
12,2020-02-03,5.296753910722971
13,2020-02-04,4.30137168164086
14,2020-02-05,3.310577078085278
15,2020-02-06,2.3744142150314556
16,2020-02-07,1.4211114489351266
17,2020-02-08,2.7082571781673948
18,2020-02-09,3.3869972722983515
19,2020-02-10,-1.395454022099785
20,2020-02-11,-3.9707605511711948
21,2020-02-12,-2.634349539015384
22,2020-02-13,-2.746590793901154
23,2020-02-14,-2.024723415012062
24,2020-02-15,-0.6470634758027006
25,2020-02-16,2.3479921016422107
26,2020-02-17,3.5545713059830994
27,2020-02-18,5.918379847671762
28,2020-02-19,10.040985074627828
29,2020-02-20,12.580662413591424
30,2020-02-21,16.34227907951401
31,2020-02-22,19.436537623614498
32,2020-02-23,21.997383757106057
33,2020-02-24,23.693695155424255
34,2020-02-25,23.557563636239628
35,2020-02-26,23.615433466164294
36,2020-02-27,23.566213408122533
37,2020-02-28,24.15322557474733
38,2020-02-29,22.60616154985337
39,2020-03-01,21.898433092098482
40,2020-03-02,20.080973512545413
41,2020-03-03,16.65742272422895
42,2020-03-04,13.989232143516652
43,2020-03-05,12.509349992859185
44,2020-03-06,11.064240594376344
45,2020-03-07,11.027934287406318
46,2020-03-08,12.678704095370687
47,2020-03-09,16.38794133021945
48,2020-03-10,17.321183717925088
49,2020-03-11,14.241582758666137
50,2020-03-12,13.77860230897836
51,2020-03-13,14.376089344827662
52,2020-03-14,11.857271800981078
53,2020-03-15,11.224175682009886
54,2020-03-16,11.421635780798468
55,2020-03-17,10.603192392240317
56,2020-03-18,7.818740098672199
57,2020-03-19,6.936574217375329
58,2020-03-20,6.811998247040725
59,2020-03-21,5.321816044233689
60,2020-03-22,5.635703187978015
61,2020-03-23,5.194531362782274
62,2020-03-24,4.743762493618807
63,2020-03-25,4.074817857993504
64,2020-03-26,2.2006190006759843
65,2020-03-27,1.763451402710968
66,2020-03-28,1.8617829599777018
67,2020-03-29,2.7071513116598265
68,2020-03-30,2.349868664177899
69,2020-03-31,3.539324944797425
70,2020-04-01,3.2263506463845637
71,2020-04-02,2.070008309993196
72,2020-04-03,2.0111633557547695
73,2020-04-04,2.1117603973551535
74,2020-04-05,1.2918498123545918
75,2020-04-06,1.00414114712363
76,2020-04-07,0.8450500212883398
77,2020-04-08,0.834094376918743
78,2020-04-09,0.9132762525827574
79,2020-04-10,1.2359537467106696
80,2020-04-11,0.8602798074734881
81,2020-04-12,0.9666634437221551
82,2020-04-13,0.8980036117008242
83,2020-04-14,0.7513355089427014
84,2020-04-15,0.7902553937037222
85,2020-04-16,0.9491765918249602
86,2020-04-17,0.6779553110831529
87,2020-04-18,0.6413934341840708
88,2020-04-19,0.5908936426456384
89,2020-04-20,0.5076385018095271
90,2020-04-21,0.4774312454513794
91,2020-04-22,0.4919001711018838
92,2020-04-23,0.5087358044287617
93,2020-04-24,0.5352817144528426
94,2020-04-25,0.487396419651106
95,2020-04-26,0.482857859953294
96,2020-04-27,0.4781456455782878
97,2020-04-28,0.4914677693742859
98,2020-04-29,0.4772894013645256
99,2020-04-30,0.48454255135631075
100,2020-05-01,0.49966983902094103
101,2020-05-02,0.5988848412019191
102,2020-05-03,0.6856598247254937
103,2020-05-04,0.7117961606182432
104,2020-05-05,0.6718452587893942
105,2020-05-06,0.6943764457272763
106,2020-05-07,0.7723551359133902
107,2020-05-08,0.8095920954795736
108,2020-05-09,0.7934612593292782
109,2020-05-10,0.7507585008550223
110,2020-05-11,0.7789939988563057
111,2020-05-12,0.7390314755407069
112,2020-05-13,0.7027818520541551
113,2020-05-14,0.6345438756535963
114,2020-05-15,0.650939084536583
115,2020-05-16,0.6429083958592005
116,2020-05-17,0.6361574664089436
117,2020-05-18,0.6659645317263861
118,2020-05-19,0.6472690770092947
119,2020-05-20,0.5904964221866074
120,2020-05-21,0.6284408181644062
121,2020-05-22,0.6444992105986276
122,2020-05-23,0.6733471594244586
123,2020-05-24,0.6925268689072726
124,2020-05-25,0.6935431289722117
125,2020-05-26,0.6756578030433413
126,2020-05-27,0.6930817672955621
127,2020-05-28,0.6973381551533413
128,2020-05-29,0.6456260415227051
129,2020-05-30,0.6618831569941895
130,2020-05-31,0.6909804629925408
131,2020-06-01,0.8484937484213552
132,2020-06-02,0.7389280451705957
133,2020-06-03,0.7311467608414064
134,2020-06-04,0.5952458644401669
135,2020-06-05,0.6824269855101991
136,2020-06-06,0.616766299230726
137,2020-06-07,0.5848123752624214
138,2020-06-08,0.6491128937283437
139,2020-06-09,0.8169790505003982
140,2020-06-10,0.9079120188209163
141,2020-06-11,1.0378079553878754
142,2020-06-12,1.0999330754967358
143,2020-06-13,1.231441192150385
144,2020-06-14,1.367533286743206
145,2020-06-15,1.5239934987220871
146,2020-06-16,1.718318603788826
147,2020-06-17,1.8490041350206172
148,2020-06-18,1.9370932576405762
149,2020-06-19,1.9444231979576618
150,2020-06-20,1.9942547450450367
151,2020-06-21,1.9594185848968912
152,2020-06-22,1.9076978981458628
153,2020-06-23,1.7860668558813313
154,2020-06-24,1.6584915121376307
155,2020-06-25,1.4195615158129302
156,2020-06-26,1.2664391384984524
157,2020-06-27,1.0860438599958249
