,I_t
0,224204.0
1,239146.6827539813
2,254391.99809748097
3,269829.2454349096
4,285331.17339018645
5,300754.8292306923
6,315943.10234651016
7,330727.00941835536
8,344928.7312789145
9,358365.3653106318
10,370853.30523136357
11,382213.10631247575
12,392274.6435141658
13,400882.3283173225
14,407900.12263063964
15,413216.079542027
16,416746.153608731
17,418437.058250667
18,418268.0024315569
19,416251.2085201428
20,412431.19143636076
21,406882.85827688564
22,399708.55995466915
23,391034.28538133256
24,381005.22962766315
25,369780.987918018
26,357530.6272912403
27,344427.8695037895
28,330646.5860894413
29,316356.76417678164
30,301721.0546686014
31,286891.9672803976
32,272009.733461627
33,257200.82105620482
34,242577.0552485804
35,228235.27941240638
36,214257.47661996668
37,200711.2668753966
38,187650.6953401558
39,175117.23151721215
40,163140.90716426965
41,151741.53036586553
42,140929.92366249172
43,130709.14459577779
44,121075.65689352935
45,112020.4294034599
46,103529.94757798781
47,95587.12873735203
48,88172.13751592365
49,81263.10191476229
50,74836.73336976563
51,68868.8563457712
52,63334.85433306748
53,58210.03989774932
54,53469.95675198349
55,49090.62177889924
56,45048.71466625489
57,41321.72235276258
58,37888.0449345007
59,34727.06906554498
60,31819.21425398283
61,29145.956828884155
62,26689.835754405634
63,24434.443906309712
64,22364.407911057682
65,20465.359181775784
66,18723.898369518065
67,17127.55508113872
68,15664.744394218997
69,14324.72142153983
70,13097.53493878528
71,11973.980885570463
72,10945.556377601692
73,10004.414723041114
74,9143.321815444593
75,8355.614175735362
76,7635.15883363929
77,6976.315172222293
78,6373.898805320897
79,5823.147514712613
80,5319.689240067407
81,4859.512088529516
82,4438.936310890453
83,4054.588176611598
84,3703.3756694895746
85,3382.4659187282523
86,3089.2642759146593
87,2821.3949463289905
88,2576.683082682902
89,2353.1382503873397
90,2148.9391754816934
91,1962.4196891484019
92,1792.0557860780968
93,1636.453717667719
94,1494.3390449894341
95,1364.5465805517063
96,1246.0111519989705
97,1137.7591249958148
98,1038.9006265640385
99,948.6224140480132
100,866.181338647511
101,790.898356058183
102,722.1530401855338
103,659.3785591413441
104,602.0570757890699
105,549.7155379771411
106,501.9218262891757
107,458.2812296526824
108,418.433221489024
109,382.04851126439644
110,348.82634832213233
111,318.49205674895063
112,290.7947817601918
113,265.5054296899872
114,242.41478514997317
115,221.3317902826557
116,202.08197229066025
117,184.50600657836344
118,168.45840390493777
119,153.8063109244296
120,140.4284143855374
121,128.2139400872796
122,117.06173844239184
123,106.87944919334856
124,97.58273846128866
125,89.09460189042117
126,81.34472818395106
127,74.268917816141
128,67.8085521524665
129,61.910108619304694
130,56.52471793933928
131,51.60775979174181
132,47.11849356985174
133,43.01972119596499
134,39.27747921519672
135,35.860757630272346
136,32.741243158416545
137,29.89308479199414
138,27.292679727805655
139,24.918477897419777
140,22.750803483978125
141,20.771691950765273
142,18.964741234627763
143,17.31497587408238
144,15.808722948622833
145,14.433498803180923
146,13.17790562071611
147,12.03153698722139
148,10.984891667706957
149,10.029294879563324
150,9.156826411667321
151,8.360254994185258
152,7.63297837571151
153,6.968968611582095
154,6.3627221103090825
155,5.809214024447443
156,5.30385660815483
157,4.842461196533003
158,4.421203491817289
159,4.036591868854891
160,3.685438437309642
161,3.364832620856167
162,3.072117034468741
163,2.8048654599415244
164,2.5608627371544577
165,2.3380864044664755
166,2.134689936105996
167,1.9489874376576175
168,1.7794396728229653
169,1.624641305662602
170,1.4833092525960285
171,1.3542720476314252
172,1.2364601326919311
173,1.1288969925704693
174,1.0306910610437887
175,0.9410283310664833
176,0.8591656078001402
177,0.7844243485597857
178,0.7161850386235421
179,0.6538820562921585
180,0.5969989846396153
181,0.5450643310979058
182,0.49764761939902585
183,0.454355821483168
184,0.4148300997996579
185,0.37874283299966127
186,0.34579490036841176
187,0.3157132024891462
188,0.28824839758883786
189,0.2631728348034183
190,0.24027866723228822
191,0.21937612914205515
192,0.2002919630399564
193,0.18286798357959716
194,0.1669597663957552
195,0.15243545100046824
196,0.13917464781801503
197,0.1270674402995549
198,0.11601347384626276
199,0.10592112398931204
