,I_t
0,321567.0
1,316221.6845671172
2,310867.8935621199
3,305510.8155650301
4,300155.45948415896
5,294806.6505190637
6,289469.0269234145
7,284147.0375354609
8,278844.94004170084
9,273566.7999376592
10,268316.4901483514
11,263097.69127002684
12,257913.89239413154
13,252768.3924740829
14,247664.3021953822
15,242604.54630978452
16,237591.86639467388
17,232628.82399943098
18,227717.80414140938
19,222861.01911512873
20,218060.51257942995
21,213318.16388859513
22,208635.69263479425
23,204014.66337066307
24,199456.49048232174
25,194962.44318469864
26,190533.65061260882
27,186171.1069826412
28,181875.6768025173
29,177648.10010618716
30,173488.9976945145
31,169398.8763629617
32,165378.13409921306
33,161427.0652351583
34,157545.86553909775
35,153734.63723541697
36,149993.39394031063
37,146322.06550340744
38,142720.5027463604
39,139188.4820906155
40,135725.71006765784
41,132331.8277060558
42,129006.41479058148
43,125748.9939895802
44,122559.03484759388
45,119435.95764101397
46,116379.13709525077
47,113387.90596256005
48,110461.55846026528
49,107599.35356965863
50,104800.51819635672
51,102064.25019333152
52,99389.7212482351
53,96776.0796369903
54,94222.4528459329
55,91727.95006506413
56,89291.66455520986
57,86912.6758920866
58,84590.05209044559
59,82322.85161160967
60,80110.12525783206
61,77950.91795699761
62,75844.27044125434
63,73789.2208232098
64,71784.80607335521
65,69830.06340239015
66,67924.03155211665
67,66065.75199855179
68,64254.270070877516
69,62488.6359898036
70,60767.905828868
71,59091.14240213831
72,57457.416081710246
73,55865.80554832494
74,54315.39847834739
75,52805.29217026439
76,51334.59411377277
77,49902.42250443841
78,48507.906706813395
79,47150.18766880495
80,45828.41828999395
81,44541.76374650524
82,43289.40177493591
83,42070.52291775199
84,40884.33073246907
85,39730.04196683843
86,38606.8867021673
87,37514.10846681089
88,36450.96432178406
89,35416.72492035302
90,34410.67454338181
91,33432.11111212467
92,32480.34618007466
93,31554.704905399438
94,30654.52600541933
95,29779.161694508297
96,28927.9776067272
97,28100.352704429708
98,27295.679174014604
99,26513.36230993428
100,25752.8203880077
101,25013.484529026915
102,24294.7985535896
103,23596.218829035817
104,22917.214109315053
105,22257.265368560096
106,21615.865629096705
107,20992.519784572734
108,20386.74441884727
109,19798.067621239035
110,19226.02879869437
111,18670.17848539764
112,18130.07815031173
113,17605.300003102584
114,17095.426798869958
115,16600.051642076305
116,16118.777790037206
117,15651.2184563096
118,15196.996614288586
119,14755.744801299299
120,14327.104923447654
121,13910.728061472133
122,13506.274277818573
123,13113.412425140757
124,12731.819956411673
125,12361.182736813365
126,12001.194857557448
127,11651.558451773419
128,11311.983512587944
129,10982.18771350517
130,10661.896231185874
131,10350.841570711735
132,10048.763393410365
133,9755.40834730667
134,9470.529900256774
135,9193.888175812113
136,8925.249791853112
137,8664.387702024433
138,8411.081039996749
139,8165.114966573538
140,7926.280519655422
141,7694.374467069002
142,7469.199162262086
143,7250.56240286244
144,7038.277292092904
145,6832.1621030317465
146,6632.0401457034495
147,6437.73963698185
148,6249.093573284486
149,6065.939606034282
150,5888.1199198621825
151,5715.481113522116
152,5547.874083487639
153,5385.153910197792
154,5227.179746918106
155,5073.814711181237
156,4924.925778770501
157,4780.38368020843
158,4640.062799711571
159,4503.8410765719245
160,4371.599908924742
161,4243.224059861853
162,4118.601565849252
163,3997.6236474073203
164,3880.184622011821
165,3766.181819173653
166,3655.5154976552594
167,3548.0887647815935
168,3443.807497803608
169,3342.5802672723657
170,3244.3182623820517
171,3148.935218240411
172,3056.3473450254187
173,2966.473258987328
174,2879.2339152556006
175,2794.55254241064
176,2712.3545787806797
177,2632.5676104246477
178,2555.1213107623194
179,2479.9473818135875
180,2406.9794970092075
181,2336.1532455359356
182,2267.406078179537
183,2200.677254629727
184,2135.9077922116967
185,2073.0404160094713
186,2012.0195103469632
187,1952.7910715931878
188,1895.3026622587313
189,1839.5033663511797
190,1785.3437459578342
191,1732.7757990246691
192,1681.7529183010993
193,1632.2298514207534
194,1584.162662089059
195,1537.508692349062
196,1492.2265258975146
197,1448.2759524238681
198,1405.6179329454058
199,1364.2145661123502
