,beta,gamma,sse
0,0.02,0.01,95131169.2494286
1,0.03,0.01,79430955.2586108
2,0.03,0.02,95135770.7268421
3,0.04,0.01,64836984.10801269
4,0.04,0.02,79435362.42513582
5,0.04,0.03,95140481.20023519
6,0.05,0.01,51458081.47663124
7,0.05,0.02,64841152.33542839
8,0.05,0.03,79439872.35307273
9,0.05,0.04,95145300.67393005
10,0.060000000000000005,0.01,39410593.50993951
11,0.060000000000000005,0.02,51461961.0434003
12,0.060000000000000005,0.03,64845416.19250166
13,0.060000000000000005,0.04,79444485.04768787
14,0.060000000000000005,0.05,95150229.15237337
15,0.07,0.01,28818863.941340968
16,0.07,0.02,39414129.107703626
17,0.07,0.03,51465928.12951271
18,0.07,0.04,64849775.68556757
19,0.07,0.05,79449200.51439326
20,0.07,0.060000000000000005,95155266.64013755
21,0.08,0.01,19815740.536714837
22,0.08,0.02,28821994.136593875
23,0.08,0.03,39417743.0479396
24,0.08,0.04,51469982.74251101
25,0.08,0.05,64854230.82112967
26,0.08,0.060000000000000005,79454018.75874627
27,0.08,0.07,95160413.14191939
28,0.09,0.01,12543112.635783989
29,0.09,0.02,19818397.183704514
30,0.09,0.03,28825192.335748643
31,0.09,0.04,39421435.33955201
32,0.09,0.05,51474124.89013182
33,0.09,0.060000000000000005,64858781.60586066
34,0.09,0.07,79458939.78645077
35,0.09,0.08,95165668.66254134
36,0.09999999999999999,0.01,7152481.66994532
37,0.09999999999999999,0.02,12545220.23635352
38,0.09999999999999999,0.03,19821110.23148231
39,0.09999999999999999,0.04,28828458.549243685
40,0.09999999999999999,0.05,39425205.99166771
41,0.09999999999999999,0.060000000000000005,51478354.58030619
42,0.09999999999999999,0.07,64863428.04660143
43,0.09999999999999999,0.08,79463963.60335582
44,0.09999999999999999,0.09,95171033.20695014
45,0.10999999999999999,0.01,3805566.6483373083
46,0.10999999999999999,0.02,7153956.675650632
47,0.10999999999999999,0.03,12547371.258901518
48,0.10999999999999999,0.04,19823879.692211587
49,0.10999999999999999,0.05,28831792.78777076
50,0.10999999999999999,0.060000000000000005,39429055.01363559
51,0.10999999999999999,0.07,51482671.82115857
52,0.10999999999999999,0.08,64868170.15036176
53,0.10999999999999999,0.09,79469090.21545625
54,0.10999999999999999,0.09999999999999999,95176506.78021812
55,0.11999999999999998,0.01,2674946.7226415602
56,0.11999999999999998,0.02,3806316.699776176
57,0.11999999999999998,0.03,7155460.628719593
58,0.11999999999999998,0.04,12549565.717528788
59,0.11999999999999998,0.05,19826705.57834343
60,0.11999999999999998,0.060000000000000005,28835195.06227462
61,0.11999999999999998,0.07,39432982.41502664
62,0.11999999999999998,0.08,51487076.621008195
63,0.11999999999999998,0.09,64873007.92432013
64,0.11999999999999998,0.09999999999999999,79474319.62889257
65,0.11999999999999998,0.10999999999999999,95182089.3875421
66,0.12999999999999998,0.01,3944743.0668021776
67,0.12999999999999998,0.02,2674869.820491328
68,0.12999999999999998,0.03,3807079.5983925164
69,0.12999999999999998,0.04,7156993.545426395
70,0.12999999999999998,0.05,12551803.626661437
