,I_t
0,18185.0
1,18313.662280768127
2,18439.25576500485
3,18561.6784474778
4,18680.829888632965
5,18796.611380342
6,18908.926111189776
7,19017.679330855943
8,19122.778513137473
9,19224.13351715417
10,19321.65674627601
11,19415.263304309945
12,19504.87114848453
13,19590.401238773462
14,19671.7776831039
15,19748.927878002174
16,19821.782644238447
17,19890.276357042694
18,19954.34707047729
19,20013.93663556649
20,20068.99081179976
21,20119.4593716448
22,20165.296197726482
23,20206.459372350233
24,20242.911259072196
25,20274.61857604392
26,20301.55246088596
27,20323.688526872895
28,20341.006910241285
29,20353.492308462213
30,20361.134009350943
31,20363.925910917784
32,20361.866531896223
33,20354.959012916825
34,20343.21110832781
35,20326.635168695768
36,20305.24811405212
37,20279.071397982974
38,20248.130962691284
39,20212.457185190888
40,20172.084814821865
41,20127.052902305404
42,20077.40472058398
43,20023.187677719077
44,19964.45322214351
45,19901.256740588942
46,19833.657449030827
47,19761.71827701315
48,19685.505745733524
49,19605.089840285546
50,19520.54387646979
51,19431.94436259725
52,19339.37085671943
53,19242.90581972781
54,19142.634464771763
55,19038.64460344838
56,18931.02648922014
57,18819.872658516695
58,18705.27776997567
59,18587.338442273955
60,18466.15309099599
61,18341.821764978493
62,18214.445982562756
63,18084.12856817555
64,17950.973489648193
65,17815.085696670445
66,17676.570960761906
67,17535.53571712826
68,17392.086908753514
69,17246.331833062242
70,17098.377991467823
71,16948.33294210409
72,16796.304156018545
73,16642.39887708576
74,16486.723985879475
75,16329.385867721767
76,16170.490285107353
77,16010.142254680677
78,15848.445928923204
79,15685.504482688208
80,15521.420004700563
81,15356.293394119448
82,15190.224262242866
83,15023.310839414233
84,14855.64988717326
85,14687.336615675898
86,14518.464606391328
87,14349.125740067895
88,14179.410129944572
89,14009.406060169924
90,13839.199929376844
91,13668.876199348337
92,13498.517348697582
93,13328.203831474235
94,13158.014040598515
95,12988.024276015147
96,12818.30871745047
97,12648.93940164825
98,12479.98620395266
99,12311.51682410076
100,12143.596776081333
101,11976.289381912387
102,11809.655769185702
103,11643.754872223646
104,11478.643436691089
105,11314.376027503358
106,11151.005039870095
107,10988.580713314273
108,10827.15114850565
109,10666.762326748463
110,10507.458131964231
111,10349.280375012002
112,10192.2688201903
113,10036.461213767434
114,9881.893314389385
115,9728.598925217611
116,9576.609927652373
117,9425.956316500738
118,9276.666236452289
119,9128.766019729477
120,8982.280224783863
121,8837.231675913717
122,8693.641503682979
123,8551.529186026082
124,8410.912589927837
125,8271.80801357218
126,8134.2302288583705
127,7998.192524187916
128,7863.706747430219
129,7730.783348979691
130,7599.431424821675
131,7469.6587595291885
132,7341.471869117031
133,7214.876043684261
134,7089.8753897804645
135,6966.472872435519
136,6844.670356796755
137,6724.468649321497
138,6605.867538476938
139,6488.865834903155
140,6373.461410998785
141,6259.651239892471
142,6147.431433766671
143,6036.797281503717
144,5927.7432856272435
145,5820.263198515119
146,5714.350057862981
147,5609.996221380217
148,5507.193400702927
149,5405.932694510871
150,5306.20462083787
151,5207.99914856728
152,5111.305728106397
153,5016.113321235576
154,4922.410430129783
155,4830.1851255520205
156,4739.425074219771
157,4650.117565347087
158,4562.249536366433
159,4475.807597835677
160,4390.778057536883
161,4307.146943774657
162,4224.900027882862
163,4144.022845949447
164,4064.500719770004
165,3986.318777041428
166,3909.461970807797
167,3833.915098171171
168,3759.6628182805916
169,3686.6896696130543
170,3614.980086560641
171,3544.518415338376
172,3475.288929227677
173,3407.27584317053
174,3340.4633277297353
175,3274.835522430703
176,3210.376548500441
177,3147.070521019409
178,3084.9015605019827
179,3023.853803921253
180,2963.9114151938843
181,2905.058595140659
182,2847.27959093828
183,2790.5587050778754
184,2734.880303845507
185,2680.2288253398474
186,2626.5887870419833
187,2573.9447929521366
188,2522.2815403078603
189,2471.583825898053
190,2421.836551986902
191,2373.024731861596
192,2325.133495017414
193,2278.1480919935084
194,2232.053898872443
195,2186.8364214562494
196,2142.4812991314957
197,2098.974308435557
198,2056.30136633599
199,2014.4485332346312
