,beta,gamma,sse
0,0.02,0.01,1233031.62655735
1,0.03,0.01,116557.65340687243
2,0.03,0.02,1239432.7372788927
3,0.04,0.01,753107.6904816121
4,0.04,0.02,117431.76150437296
5,0.04,0.03,1245866.290879385
6,0.05,0.01,3283016.218977178
7,0.05,0.02,747980.1449894694
8,0.05,0.03,118327.20207114102
9,0.05,0.04,1252332.4009952247
10,0.060000000000000005,0.01,7855795.302823247
11,0.060000000000000005,0.02,3271378.695556823
12,0.060000000000000005,0.03,742861.6001077667
13,0.060000000000000005,0.04,119244.10147169452
14,0.060000000000000005,0.05,1258831.1814672453
15,0.07,0.01,14630703.209657831
16,0.07,0.02,7837103.496369532
17,0.07,0.03,3259736.5157146836
18,0.07,0.04,737752.1960591453
19,0.07,0.05,120182.58630225845
20,0.07,0.060000000000000005,1265362.7463404255
21,0.08,0.01,23777347.54758135
22,0.08,0.02,14604374.368189348
23,0.08,0.03,7818391.939360598
24,0.08,0.04,3248089.8347562733
25,0.08,0.05,732652.0733278503
26,0.08,0.060000000000000005,121142.78339018673
27,0.08,0.07,1271927.209863119
28,0.09,0.01,35476324.9896633
29,0.09,0.02,23742757.836303182
30,0.09,0.03,14578009.124166925
31,0.09,0.04,7799660.803512523
32,0.09,0.05,3236438.808281798
33,0.09,0.060000000000000005,727561.3726591805
34,0.09,0.07,122124.81979340088
35,0.09,0.08,1278524.6864867397
36,0.09999999999999999,0.01,49919899.78120951
37,0.09999999999999999,0.02,35432806.67329512
38,0.09999999999999999,0.03,23708113.382324703
39,0.09999999999999999,0.04,14551607.667155785
40,0.09999999999999999,0.05,7780910.260872189
41,0.09999999999999999,0.060000000000000005,3224783.5921852905
42,0.09999999999999999,0.07,722480.2350587985
43,0.09999999999999999,0.08,123128.82279982047
44,0.09999999999999999,0.09,1285155.2908651573
45,0.10999999999999999,0.01,67312723.35503024
46,0.10999999999999999,0.02,49866738.21181768
47,0.10999999999999999,0.03,35389213.445398524
48,0.10999999999999999,0.04,23673414.39461965
49,0.10999999999999999,0.05,14525170.187092137
50,0.10999999999999999,0.060000000000000005,7762140.483816611
51,0.10999999999999999,0.07,3213124.3426540596
52,0.10999999999999999,0.08,717408.8017921688
53,0.10999999999999999,0.09,124154.91992679378
54,0.10999999999999999,0.09999999999999999,1291819.1378541829
55,0.11999999999999998,0.01,87872597.51779495
56,0.11999999999999998,0.02,67249153.75168726
57,0.11999999999999998,0.03,49813479.58181295
58,0.11999999999999998,0.04,35345545.53604622
59,0.11999999999999998,0.05,23638661.082576923
60,0.11999999999999998,0.060000000000000005,14498696.874281943
61,0.11999999999999998,0.07,7743351.645052261
62,0.11999999999999998,0.08,3201461.216168016
63,0.11999999999999998,0.09,712347.2143838694
64,0.11999999999999998,0.09999999999999999,125203.23892052511
65,0.11999999999999998,0.10999999999999999,1298516.3425110702
66,0.12999999999999998,0.01,111831283.81645617
67,0.12999999999999998,0.02,87797801.52340616
68,0.12999999999999998,0.03,67185462.79492462
69,0.12999999999999998,0.04,49760124.14419808
70,0.12999999999999998,0.05,35301803.17577369
71,0.12999999999999998,0.060000000000000005,23603853.65599886
72,0.12999999999999998,0.07,14472187.919400668
73,0.12999999999999998,0.08,7724543.917614218
74,0.12999999999999998,0.09,3189794.3694988294
75,0.12999999999999998,0.09999999999999999,707295.6146169477
76,0.12999999999999998,0.10999999999999999,126273.90775550104
77,0.12999999999999998,0.11999999999999998,1305247.0200940133
78,0.13999999999999999,0.01,139435361.84812236
79,0.13999999999999999,0.02,111744385.81603388
80,0.13999999999999999,0.03,87722857.56279543
81,0.13999999999999999,0.04,67121650.76265943
82,0.13999999999999999,0.05,49706672.152491964
83,0.13999999999999999,0.060000000000000005,35257986.5955786
84,0.13999999999999999,0.07,23568992.32510091
85,0.13999999999999999,0.08,14445643.513491808
86,0.13999999999999999,0.09,7705717.474865399
87,0.13999999999999999,0.09999999999999999,3178123.959709402
88,0.13999999999999999,0.10999999999999999,702254.1445323962
89,0.13999999999999999,0.11999999999999998,127367.05463392448
90,0.13999999999999999,0.12999999999999998,1312011.2860615314
91,0.15,0.01,170947139.44016126
92,0.15,0.02,139335425.03166038
93,0.15,0.03,111657310.72652951
94,0.15,0.04,87647765.9409456
95,0.15,0.05,67057717.933383495
96,0.15,0.060000000000000005,49653123.8607278
97,0.15,0.07,35214096.02691923
98,0.15,0.08,23534077.30051033
99,0.15,0.09,14419063.847966429
100,0.15,0.09999999999999999,7686872.490495773
101,0.15,0.10999999999999999,3166450.1441530488
102,0.15,0.11999999999999998,697222.9464283821
103,0.15,0.12999999999999998,128482.80798513911
104,0.15,0.13999999999999999,1318809.2560721177
105,0.16,0.01,206645617.80020633
106,0.16,0.02,170833161.59203845
107,0.16,0.03,139235279.28828397
108,0.16,0.04,111570058.88232216
109,0.16,0.05,87572526.96347804
