,beta,gamma,sse
0,0.01,0.02,932690.0614631106
1,0.01,0.03,436200.6679200855
2,0.02,0.03,931114.1423621192
3,0.01,0.04,467984.5650700781
4,0.02,0.04,435742.4225673402
5,0.03,0.04,929537.4311028142
6,0.01,0.05,989007.8995079466
7,0.02,0.05,468561.8566278785
8,0.03,0.05,435285.6316898331
9,0.04,0.05,927959.9428930077
10,0.01,0.060000000000000005,1962633.6797002994
11,0.02,0.060000000000000005,990543.6326234605
12,0.03,0.060000000000000005,469142.6328456041
13,0.04,0.060000000000000005,434830.30905779963
14,0.05,0.060000000000000005,926381.69296986
15,0.01,0.07,3354481.5801666267
16,0.02,0.07,1965055.5053916979
17,0.03,0.07,992084.6810292248
18,0.04,0.07,469726.90616756584
19,0.05,0.07,434376.46846760984
20,0.060000000000000005,0.07,924802.6965998886
21,0.01,0.08,5132295.806844937
22,0.02,0.08,3357721.6177015565
23,0.03,0.08,1967484.2931022528
24,0.04,0.08,993631.0559470577
25,0.05,0.08,470314.68906126806
26,0.060000000000000005,0.08,433924.12374173925
27,0.07,0.08,923222.9690788899
28,0.01,0.09,7265820.563413333
29,0.02,0.09,5136290.381639538
30,0.03,0.09,3360970.0945840185
31,0.04,0.09,1969920.052927136
32,0.05,0.09,995182.7686193169
33,0.060000000000000005,0.09,470905.99401738634
34,0.07,0.09,433473.28872872907
35,0.08,0.09,921642.5257319176
36,0.01,0.09999999999999999,9726682.684467651
37,0.02,0.09999999999999999,7270509.960035038
38,0.03,0.09999999999999999,5140294.71714132
39,0.04,0.09999999999999999,3364227.019871327
40,0.05,0.09999999999999999,1972362.7949796473
41,0.060000000000000005,0.09999999999999999,996739.8303088546
42,0.07,0.09999999999999999,471500.8335497262
43,0.08,0.09999999999999999,433023.97730315395
44,0.09,0.09999999999999999,920061.3819132386
45,0.01,0.10999999999999999,12488281.026111938
46,0.02,0.10999999999999999,9732010.913877543
47,0.03,0.10999999999999999,7275210.295194692
48,0.04,0.10999999999999999,5144308.82145196
49,0.05,0.10999999999999999,3367492.402636718
50,0.060000000000000005,0.10999999999999999,1974812.5293911619
51,0.07,0.10999999999999999,998302.2522990074
52,0.08,0.10999999999999999,472099.22019520367
53,0.09,0.10999999999999999,432576.2033655778
54,0.09999999999999999,0.10999999999999999,918479.5530063126
55,0.01,0.11999999999999998,15525682.227783326
56,0.02,0.11999999999999998,12494195.606331138
57,0.03,0.11999999999999998,9737351.127646605
58,0.04,0.11999999999999998,7279921.576114481
59,0.05,0.11999999999999998,5148332.702687071
60,0.060000000000000005,0.11999999999999998,3370766.2519692923
61,0.07,0.11999999999999998,1977269.2663110998
62,0.08,0.11999999999999998,999870.0458935541
63,0.09,0.11999999999999998,472701.1665138015
64,0.09999999999999999,0.11999999999999998,432129.9808425347
65,0.10999999999999999,0.11999999999999998,916897.054423708
66,0.01,0.12999999999999998,18815522.48108571
67,0.02,0.12999999999999998,15532133.977215067
68,0.03,0.12999999999999998,12500123.095386669
69,0.04,0.12999999999999998,9742703.332188107
70,0.05,0.12999999999999998,7284643.810028749
71,0.060000000000000005,0.12999999999999998,5152366.368976173
72,0.07,0.12999999999999998,3374048.576974065
73,0.08,0.12999999999999998,1979733.0159069207
74,0.09,0.12999999999999998,1001443.2224166741
75,0.09999999999999999,0.12999999999999998,473306.68508854107
76,0.10999999999999999,0.12999999999999998,431685.32368647575
77,0.11999999999999998,0.12999999999999998,915313.9016071192
78,0.01,0.13999999999999999,22335914.962119214
79,0.02,0.13999999999999999,18822465.323767945
80,0.03,0.13999999999999999,15538599.448489334
81,0.04,0.13999999999999999,12506063.498948177
82,0.05,0.13999999999999999,9748067.533925813
83,0.060000000000000005,0.13999999999999999,7289377.004183942
84,0.07,0.13999999999999999,5156409.828462679
85,0.08,0.13999999999999999,3377339.3867718466
86,0.09,0.13999999999999999,1982203.7883641147
87,0.09999999999999999,0.13999999999999999,1003021.7932129549
88,0.10999999999999999,0.13999999999999999,473915.7885254526
89,0.11999999999999998,0.13999999999999999,431242.2458757477
90,0.12999999999999998,0.13999999999999999,913730.1100272895
91,0.01,0.15,26066362.603334133
92,0.02,0.15,22343305.74422405
93,0.03,0.15,18829422.598965924
94,0.04,0.15,15545078.64659255
95,0.05,0.15,12512016.822694296
96,0.060000000000000005,0.15,9753443.739294004
97,0.07,0.15,7294121.165838597
98,0.08,0.15,5160463.089303805
99,0.09,0.15,3380638.690499307
100,0.09999999999999999,0.15,1984681.593886126
101,0.10999999999999999,0.15,1004605.7696473249
102,0.11999999999999998,0.15,474528.4894535356
103,0.12999999999999998,0.15,430800.7614145439
104,0.13999999999999999,0.15,912145.6951839784
105,0.01,0.16,29987675.8993762
106,0.02,0.16,26074160.920269735
107,0.03,0.16,22350711.575640976
108,0.04,0.16,18836394.311038822
109,0.05,0.16,15551571.576518886
110,0.060000000000000005,0.16,12517983.072312705
111,0.07,0.16,9758831.95473738
112,0.08,0.16,7298876.302263323
113,0.09,0.16,5164526.159670729
114,0.09999999999999999,0.16,3383946.497308911
115,0.10999999999999999,0.16,1987166.4426943345
116,0.11999999999999998,0.16,1006195.1631050508
117,0.12999999999999998,0.16,475144.800524739
118,0.13999999999999999,0.16,430360.88433288113
119,0.15,0.16,910560.6726059283
120,0.01,0.17,34081895.458783984
121,0.02,0.17,29995843.93288312
122,0.03,0.17,26081974.817260414
123,0.04,0.17,22358132.46015369
124,0.05,0.17,18843380.46435232
125,0.060000000000000005,0.17,15558078.243270079
126,0.07,0.17,12523962.253500042
127,0.08,0.17,9764232.186711062
128,0.09,0.17,7303642.420740789
129,0.09999999999999999,0.17,5168599.047748331
130,0.10999999999999999,0.17,3387262.81636886
131,0.11999999999999998,0.17,1989658.3450281024
132,0.12999999999999998,0.17,1007789.9849916911
133,0.13999999999999999,0.17,475764.73441391264
134,0.15,0.17,429922.6286865568
135,0.16,0.17,908975.0578508292
136,0.01,0.18000000000000002,38332219.02980946
137,0.02,0.18000000000000002,34090397.823452845
138,0.03,0.18000000000000002,30004027.998371445
139,0.04,0.18000000000000002,26089804.297562286
140,0.05,0.18000000000000002,22365568.401551314
141,0.060000000000000005,0.18000000000000002,18850381.063278556
142,0.07,0.18000000000000002,15564598.651855651
143,0.08,0.18000000000000002,12529954.371962007
144,0.09,0.18000000000000002,9769644.441680703
145,0.09999999999999999,0.18000000000000002,7308419.52856566
146,0.10999999999999999,0.18000000000000002,5172681.761735344
147,0.11999999999999998,0.18000000000000002,3390587.6568631604
148,0.12999999999999998,0.18000000000000002,1992157.3111446388
149,0.13999999999999999,0.18000000000000002,1009390.2467330636
150,0.15,0.18000000000000002,476388.3038187891
151,0.16,0.18000000000000002,429486.00855711615
152,0.17,0.18000000000000002,907388.866505271
153,0.01,0.19000000000000003,42722932.74411317
154,0.02,0.19000000000000003,38341022.62847951
155,0.03,0.19000000000000003,34098916.59990524
156,0.04,0.19000000000000003,30012228.098614074
157,0.05,0.19000000000000003,26097649.364435926
158,0.060000000000000005,0.19000000000000003,22373019.40362836
159,0.07,0.19000000000000003,18857396.112196166
160,0.08,0.19000000000000003,15571132.80729269
161,0.09,0.19000000000000003,12535959.433413122
162,0.09999999999999999,0.19000000000000003,9775068.726122275
163,0.10999999999999999,0.19000000000000003,7313207.633044667
164,0.11999999999999998,0.19000000000000003,5176774.30984428
165,0.12999999999999998,0.19000000000000003,3393921.027991491
166,0.13999999999999999,0.19000000000000003,1994663.351319035
167,0.15,0.19000000000000003,1010995.9597752522
168,0.16,0.19000000000000003,477015.52145994385
169,0.17,0.19000000000000003,429051.03805181186
170,0.18000000000000002,0.19000000000000003,905802.1141846974
171,0.01,0.20000000000000004,47239346.33668946
172,0.02,0.20000000000000004,42732006.63164224
173,0.03,0.20000000000000004,38349842.95279883
174,0.04,0.20000000000000004,34107451.7904719
175,0.05,0.20000000000000004,30020444.236387383
176,0.060000000000000005,0.20000000000000004,26105510.021146316
177,0.07,0.20000000000000004,22380485.47018472
178,0.08,0.20000000000000004,18864425.615490288
179,0.09,0.20000000000000004,15577680.714606024
180,0.09999999999999999,0.20000000000000004,12541977.443576973
181,0.10999999999999999,0.20000000000000004,9780505.046522178
182,0.11999999999999998,0.20000000000000004,7318006.741496467
183,0.12999999999999998,0.20000000000000004,5180876.700301391
184,0.13999999999999999,0.20000000000000004,3397262.938969247
185,0.15,0.20000000000000004,1997176.4758442505
186,0.16,0.20000000000000004,1012607.1355845213
187,0.17,0.20000000000000004,477646.40008075966
188,0.18000000000000002,0.20000000000000004,428617.7313035734
189,0.19000000000000003,0.20000000000000004,904214.8165333822
190,0.01,0.21000000000000005,51867732.11415329
191,0.02,0.21000000000000005,47248661.59161478
192,0.03,0.21000000000000005,42741097.49846932
193,0.04,0.21000000000000005,38358680.00469358
194,0.05,0.21000000000000005,34116003.39748603
195,0.060000000000000005,0.21000000000000005,30028676.41447141
196,0.07,0.21000000000000005,26113386.270962924
197,0.08,0.21000000000000005,22387966.605025798
198,0.09,0.21000000000000005,18871469.577552464
199,0.09999999999999999,0.21000000000000005,15584242.378828023
200,0.10999999999999999,0.21000000000000005,12548008.40818604
201,0.11999999999999998,0.21000000000000005,9785953.409377174
202,0.12999999999999998,0.21000000000000005,7322816.861251757
203,0.13999999999999999,0.21000000000000005,5184988.941346671
204,0.15,0.21000000000000005,3400613.3990275506
205,0.16,0.21000000000000005,1999696.6950310543
206,0.17,0.21000000000000005,1014223.785647331
207,0.18000000000000002,0.21000000000000005,478280.9524474035
208,0.19000000000000003,0.21000000000000005,428186.1024709686
209,0.20000000000000004,0.21000000000000005,902626.9892243829
210,0.01,0.22000000000000006,56595267.45651364
211,0.02,0.22000000000000006,51877261.71779023
212,0.03,0.22000000000000006,47257994.02455531
213,0.04,0.22000000000000006,42750205.34615118
214,0.05,0.22000000000000006,38367533.7860921
215,0.060000000000000005,0.22000000000000006,34124571.42328389
216,0.07,0.22000000000000006,30036924.635649715
217,0.08,0.22000000000000006,26121278.117159598
218,0.09,0.22000000000000006,22395462.81196221
219,0.09999999999999999,0.22000000000000006,18878528.00278062
220,0.10999999999999999,0.22000000000000006,15590817.80499873
221,0.11999999999999998,0.22000000000000006,12554052.33298174
222,0.12999999999999998,0.22000000000000006,9791413.8211944
223,0.13999999999999999,0.22000000000000006,7327637.999653095
224,0.15,0.22000000000000006,5189111.041233802
225,0.16,0.22000000000000006,3403972.41741307
226,0.17,0.22000000000000006,2002224.0192079912
227,0.18000000000000002,0.22000000000000006,1015845.9214702859
