,I_t
0,63167.0
1,63800.05081900666
2,64439.42618193294
3,65085.188875441694
4,65737.40230145807
5,66396.13048303596
6,67061.43807027701
7,67733.39034630277
8,68412.05323328012
9,69097.49329850075
10,69789.77776051465
11,70488.97449531847
12,71195.15204259877
13,71908.3796120309
14,72628.7270896337
15,73356.26504418052
16,74091.06473366698
17,74833.19811183587
18,75582.73783475961
19,76339.75726748073
20,77104.33049071072
21,77876.5323075877
22,78656.43825049336
23,79444.12458792966
24,80239.6683314555
25,81043.14724268395
26,81854.63984034052
27,82674.22540738278
28,83501.98399818172
29,84337.99644576546
30,85182.34436912558
31,86035.11018058656
32,86896.37709323877
33,87766.22912843541
34,88644.7511233539
35,89532.02873862199
36,90428.14846600927
37,91333.19763618431
38,92247.26442653792
39,93170.43786907298
40,94102.80785836128
41,95044.4651595678
42,95995.5014165428
43,96956.00915998222
44,97926.08181565683
45,98905.81371271049
46,99895.30009202799
47,100894.63711467295
48,101903.92187039611
49,102923.25238621447
50,103952.72763506178
51,104992.44754451065
52,106042.51300556694
53,107103.02588153654
54,108174.08901696527
55,109255.80624665208
56,110348.28240473612
57,111451.62333385804
58,112565.93589439588
59,113691.32797377606
60,114827.90849585984
61,115975.78743040557
62,117135.07580260732
63,118305.88570271006
64,119488.330295702
65,120682.52383108439
66,121888.581652719
67,123106.62020875416
68,124336.75706162909
69,125579.11089815742
70,126833.80153969007
71,128100.94995235781
72,129380.67825739401
73,130673.10974153785
74,131978.3688675183
75,133296.58128461937
76,134627.87383932696
77,135972.37458605735
78,137330.21279796827
79,138701.5189778521
80,140086.42486911238
81,141485.06346682314
82,142897.56902887198
83,144324.0770871869
84,145764.72445904717
85,147219.64925847875
86,148688.9909077343
87,150172.8901488581
88,151671.48905533642
89,153184.93104383317
90,154713.3608860114
91,156256.92472044073
92,157815.77006459126
93,159390.0458269135
94,160979.9023190053
95,162585.4912678656
96,164206.96582823517
97,165844.48059502462
98,167498.19161582988
99,169168.25640353526
100,170854.83394900424
101,172558.08473385812
102,174278.17074334275
103,176015.25547928328
104,177769.50397312714
105,179541.08279907546
106,181330.16008730268
107,183136.90553726477
108,184961.49043109576
109,186804.087647093
110,188664.87167329068
111,190544.01862112217
112,192441.7062391706
113,194358.11392700806
114,196293.42274912325
115,198247.81544893727
116,200221.476462908
117,202214.5919347223
118,204227.34972957647
119,206259.9394485445
120,208312.552443034
121,210385.38182932977
122,212478.62250322464
123,214592.47115473734
124,216727.12628291734
125,218882.78821073612
126,221059.6591000649
127,223257.94296673808
128,225477.84569570248
129,227719.57505625178
130,229983.34071734568
131,232269.3542630136
132,234577.82920784235
133,236908.98101254716
134,239263.02709962576
135,241640.18686909505
136,244040.68171430938
137,246464.73503786032
138,248912.57226755697
139,251384.4208724864
140,253880.5103791533
141,256401.07238769825
142,258946.3405881938
143,261516.55077701766
144,264111.94087330205
145,266732.75093545835
146,269379.2231777764
147,272051.60198709695
148,274750.13393955707
149,277475.0678174068
150,280226.6546258963
151,283005.14761023247
152,285810.80227260356
153,288643.8763892711
154,291504.6300277276
155,294393.32556391833
156,297310.22769952717
157,300255.6034793234
158,303229.7223085696
159,306232.85597048816
160,309265.27864378545
161,312327.2669202318
162,315419.0998222958
163,318541.05882083107
164,321693.4278528143
165,324876.493339132
166,328090.54420241475
167,331335.87188491685
168,334612.77036643936
169,337921.5361822947
170,341262.4684413105
171,344635.8688438706
172,348042.04169999145
173,351481.29394743097
174,354953.93516982807
175,358460.27761487017
176,362000.6362124863
177,365575.32859306346
178,369184.67510568333
179,372828.9988363768
180,376508.6256263939
181,380223.8840904852
182,383975.10563519376
183,387762.62447715236
184,391586.77766138484
185,395447.90507960727
186,399346.3494885263
187,403282.4565281311
188,407256.57473997585
189,411269.0555854488
190,415320.25346402486
191,419410.52573149797
192,423540.2327181891
193,427709.73774712643
194,431919.4071521942
195,436169.61029624497
196,440460.71958917263
197,444793.1105059409
198,449167.16160456353
199,453583.2545440315
