,I_t
0,320264.0
1,314877.1916477685
2,308691.5319950214
3,301777.79544144985
4,294211.8276488972
5,286072.9302604497
6,277442.282692303
7,268401.44715455844
8,259030.9949722305
9,249409.28330843482
10,239611.4021809486
11,229708.30277272643
12,219766.10991595685
13,209845.61460013976
14,200001.9366118961
15,190284.34303489627
16,180736.20530049462
17,171395.0756848701
18,162292.8634451449
19,153456.09099267254
20,144906.21142241603
21,136659.97016272973
22,128729.79530442883
23,121124.20315838711
24,113848.20764948762
25,106903.72418084757
26,100289.9605208868
27,94003.78902533921
28,88040.09607508365
29,82392.1059734888
30,77051.67770147718
31,72009.57388190235
32,67255.70207089858
33,62779.32909056112
34,58569.26956478943
35,54614.05013918218
36,50902.05107687295
37,47421.62704428494
38,44161.20895141383
39,41109.38870591434
40,38254.98869241652
41,35587.11770956144
42,33095.214996746865
43,30769.08386829087
44,28598.91635088229
45,26575.310095664012
46,24689.278712804953
47,22932.256556706594
48,21296.098876006414
49,19773.07813558416
50,18355.877218631427
51,17037.580125893404
52,15811.660706510444
53,14671.9698803247
54,13612.721744760027
55,12628.478900006217
56,11714.137273746037
57,10864.91068052186
58,10076.315310499444
59,9344.154307305324
60,8664.502564263254
61,8033.691842231758
62,7448.296289877845
63,6905.118428174847
64,6401.175644784553
65,5933.68723041139
66,5500.061977870446
67,5097.886355197011
68,4724.913256380146
69,4379.051326993433
70,4058.3548569167924
71,3761.0142283131404
72,3485.3469038843646
73,3229.788938044638
74,2992.8869918954047
75,2773.2908316617213
76,2569.746289464381
77,2381.088664879359
78,2206.2365456096877
79,2044.1860257084343
80,1894.005300097239
81,1754.8296145821562
82,1625.856551143144
83,1506.3416289366398
84,1395.5942021782091
85,1292.9736368442273
86,1197.8857489314391
87,1109.7794878274603
88,1028.1438491628076
89,952.5050023269679
90,882.4236186302808
91,817.4923868744421
92,757.333703853009
93,701.5975280361808
94,649.9593853990777
95,602.1185170281766
96,557.796158785557
97,516.7339439247078
98,478.6924201348115
99,443.44967304294573
100,410.80004872604053
101,380.5529682774659
102,352.53182793766297
103,326.5729787352918
104,302.52477999601683
105,280.24672146142717
106,259.60860912185336
107,240.4898102051652
108,222.77855308019875
109,206.37127812941247
110,191.17203592185703
111,177.0919292756597
112,164.04859604004776
113,151.9657296514946
114,140.772634727857
115,130.40381515932918
116,120.79859233657015
117,111.90075132532098
118,103.6582129540332
119,96.0227299272436
120,88.94960521338301
121,82.39743108207949
122,76.32784728345466
123,70.70531697101966
124,65.49691907112435
125,60.67215589603003
126,56.20277488506388
127,52.062603439437446
128,48.227395891608985
129,44.67469171994934
130,41.383684184312315
131,38.33509861827057
132,35.511079669587005
133,32.89508683225921
134,30.471797661488353
135,28.22701810745165
136,26.14759944504971
137,24.221361315087407
138,22.437020427846697
139,20.78412451292196
140,19.252991129699893
141,17.834650981150325
142,16.52079539981252
143,15.303727699163307
144,14.176318106077952
145,13.131962010970906
146,12.164541291551455
147,11.268388484059985
148,10.438253592467401
149,9.669273341518892
150,8.956942693772676
151,8.297088464007041
152,7.685844876621304
153,7.119630923009357
154,6.595129386403875
155,6.1092674114361465
156,5.659198504687375
157,5.242285860874657
158,4.856086917067304
159,4.498339044511814
160,4.166946294298408
161,3.8599671192673846
162,3.575603000265496
163,3.312187910154413
164,3.068178553875958
165,2.8421453274207593
166,2.632763942754768
167,2.438807669656288
168,2.259140149027499
169,2.092708735590053
170,1.9385383309736461
171,1.7957256710777334
172,1.663434034246399
173,1.5408883392605113
174,1.427370604433953
175,1.3222157412153572
176,1.2248076576557243
177,1.1345756489169945
178,1.0509910536777538
179,0.9735641568495437
180,0.901841320459884
181,0.8354023258945104
182,0.7738579119293101
183,0.7168474941292529
184,0.6640370522539686
185,0.6151171732937387
186,0.5698012386713023
187,0.5278237449893737
188,0.48893874848606184
189,0.4529184240850568
190,0.41955173059874984
191,0.3886431742643075
192,0.3600116633687719
193,0.3334894472528781
194,0.30892113347759564
195,0.28616277739530177
196,0.26508103879167083
197,0.24555240065729017
198,0.22746244551199915
199,0.2107051850421202
